iter	Logloss
325	0.4859901829
326	0.485668251
327	0.4853391243
328	0.4849516248
329	0.4846539033
330	0.4843249843
331	0.4839897152
332	0.4836580657
333	0.4833261407
334	0.4830630936
335	0.482803205
336	0.4825278535
337	0.4822536705
338	0.4818935407
339	0.4815341419
340	0.4812384497
341	0.4808145276
342	0.4806732042
343	0.4803414717
344	0.4799997723
345	0.4796486319
346	0.4793020131
347	0.4788982637
348	0.4785639915
349	0.4782833586
350	0.4781003557
351	0.4777707069
352	0.4774734259
353	0.477243609
354	0.4768456245
355	0.4764682705
356	0.4761444975
357	0.475867544
358	0.4755896247
359	0.4752824529
360	0.4750185307
361	0.474642654
362	0.4743313914
363	0.4740850977
364	0.4736992338
365	0.4734026465
366	0.4730720039
367	0.4728262711
368	0.472547775
369	0.4721758656
370	0.4718727996
371	0.4715926967
372	0.4714689272
373	0.4711245848
374	0.4708535709
375	0.470491578
376	0.4701755661
377	0.469904414
378	0.4695544298
379	0.4693441435
380	0.4690099936
381	0.4686193864
382	0.4682680797
383	0.4679863519
384	0.4676529662
385	0.4673434564
386	0.4670958278
387	0.4666811053
388	0.4664479389
389	0.4662154871
390	0.46614107
391	0.4658583421
392	0.4656937275
393	0.4655101509
394	0.4651834281
395	0.464840437
396	0.4644790771
397	0.4642313184
398	0.4640149151
399	0.4635445378
400	0.4632481437
401	0.4630205954
