iter	Logloss
0	0.6869798412
1	0.6827471908
2	0.6785816489
3	0.6743533114
4	0.6702059266
5	0.6662447731
6	0.6625262038
7	0.6604967499
8	0.656601391
9	0.653645777
10	0.6517918937
11	0.648874091
12	0.6464032564
13	0.6434923966
14	0.6404306673
15	0.6384675148
16	0.6360328079
17	0.6341048936
18	0.6318738198
19	0.6291604007
20	0.6270706393
21	0.6261899514
22	0.6242707476
23	0.6216615665
24	0.6207514276
25	0.6194186575
26	0.6180166557
27	0.6165582503
28	0.615384291
29	0.6144585881
30	0.612608969
31	0.6114255739
32	0.6102431215
33	0.6090288092
34	0.6078260036
35	0.6067357289
36	0.605986686
37	0.6048545158
38	0.6031004882
39	0.6024503913
40	0.6015682257
41	0.6007075449
42	0.5999023798
43	0.5986135668
44	0.5977916808
45	0.5963670008
46	0.5953918418
47	0.5939427305
48	0.5926858764
49	0.5918829165
50	0.5913292311
51	0.5903163105
52	0.5896411899
53	0.5888929507
54	0.5881056396
55	0.5876968845
56	0.5862519487
57	0.5852111789
58	0.5845348485
59	0.5840821052
60	0.5836926179
61	0.5832716182
62	0.5824635903
63	0.5818165221
64	0.5814756137
65	0.5804536387
66	0.5799766531
67	0.5794045323
68	0.5786868626
69	0.5780267838
70	0.5776323062
71	0.5769355087
72	0.5763578853
73	0.5756251717
74	0.5748487644
75	0.5744880897
76	0.5741563434
77	0.573331493
78	0.5729703477
79	0.572320467
80	0.5717552385
81	0.5714866755
82	0.5708656644
83	0.5702299852
84	0.5699199225
85	0.5691180037
86	0.5687750647
87	0.5680449154
88	0.5672891869
89	0.5667633667
90	0.5663051699
91	0.5657674903
92	0.5653922967
93	0.5652042377
94	0.5650135857
95	0.5645823096
96	0.5642704255
97	0.5635904337
98	0.5632200521
99	0.5626284668
100	0.562311881
101	0.5618041617
102	0.5614718676
103	0.5609543556
104	0.5606506079
105	0.5600856239
106	0.559569954
107	0.5590941734
108	0.5585531114
109	0.5582334697
110	0.5576160228
111	0.5573092378
112	0.5570041542
113	0.5567744566
114	0.5565477891
115	0.556051686
116	0.5555469409
117	0.5551071047
118	0.5546093171
119	0.5539331209
120	0.5536414033
121	0.553504613
122	0.5530837352
123	0.5527728256
124	0.5521020148
125	0.5516737719
126	0.5512554508
127	0.5509799119
128	0.5506384717
129	0.5503631135
130	0.5495864875
131	0.549220583
132	0.5489736041
133	0.5485833784
134	0.5484179564
135	0.5479726191
136	0.5475033389
137	0.5472493087
138	0.5468478529
139	0.5465659673
140	0.5463690902
141	0.5459827164
142	0.54567642
143	0.5453249817
144	0.5449978704
145	0.5447002549
146	0.5444995893
147	0.5442915887
148	0.5440733091
149	0.5438064922
150	0.5432828205
151	0.5429473206
152	0.5424741619
153	0.5421178996
154	0.5418329851
155	0.5416205196
156	0.5412683139
157	0.5408699093
158	0.5406631228
159	0.5405676757
160	0.5404562996
161	0.5401969875
162	0.5397488504
163	0.5394777818
164	0.5392278534
165	0.5390360507
166	0.5385469543
167	0.5382781441
168	0.5380353379
169	0.5376833516
170	0.537617549
171	0.5373098142
172	0.5371091264
173	0.5368467821
174	0.5366207862
175	0.5362425097
176	0.5361091331
177	0.5357495903
178	0.5353180051
179	0.5347802556
180	0.5347277304
181	0.5344334703
182	0.5342471703
183	0.5341257005
184	0.5336546499
185	0.5333623897
186	0.5330184312
187	0.5326689182
188	0.5323725985
189	0.5321245634
190	0.531848483
191	0.5317127542
192	0.5312251626
193	0.5309606916
194	0.5307306788
195	0.5305281733
196	0.5301365722
197	0.5298978608
198	0.5294602679
199	0.5291374821
200	0.5287361059
201	0.5285257103
202	0.5281377534
203	0.5279957955
204	0.5277845019
205	0.5275298977
206	0.527353581
207	0.5271327832
208	0.5267520555
209	0.5265707075
210	0.5262980583
211	0.5260078329
212	0.5255271712
213	0.5253177995
214	0.5249006773
215	0.5245464631
216	0.524258682
217	0.52398092
218	0.5237423188
219	0.5233557935
220	0.5230186943
221	0.5227466675
222	0.5224762127
223	0.5222495737
224	0.5219471981
225	0.521676783
226	0.5212448655
227	0.5209198442
228	0.5205861476
229	0.5202935444
230	0.5198969448
231	0.519531326
232	0.5192350476
233	0.5190367642
234	0.5184698072
235	0.5182288775
236	0.5179216201
237	0.5175831966
238	0.5172804585
239	0.5170175783
240	0.5165779541
241	0.5160139118
242	0.5156917564
243	0.5153932792
244	0.5151255383
245	0.5147540666
246	0.5143221477
247	0.5138132445
248	0.5134513079
249	0.5129396228
250	0.5125533055
251	0.5122264252
252	0.5117378391
253	0.5113633041
254	0.5111461729
255	0.5108331681
256	0.5104436429
257	0.5100148612
258	0.5097134252
259	0.5094250138
260	0.5090942449
261	0.5087433135
262	0.5083469816
263	0.5080528955
264	0.5076819161
265	0.5072906341
266	0.5068275145
267	0.5064060539
268	0.5058581846
269	0.5055798392
270	0.5051237473
271	0.5047334725
272	0.504458323
273	0.5039767055
274	0.5037355534
275	0.5034952634
276	0.5030598473
277	0.5025085119
278	0.5021009017
279	0.5018436606
280	0.5014236688
281	0.5009565967
282	0.5006140892
283	0.5002528197
284	0.5000130986
285	0.4996948892
286	0.4993135844
287	0.4990597207
288	0.4987302362
289	0.4984367889
290	0.4981225313
291	0.4976506064
292	0.4972838081
293	0.4969978498
294	0.4966207417
295	0.4962151418
296	0.4957750425
297	0.4954549238
298	0.4951814026
299	0.4948228648
300	0.4944858268
301	0.4940979434
302	0.4938140419
303	0.493552568
304	0.4932576154
305	0.492916343
306	0.4925219215
307	0.4922201858
308	0.4918542854
309	0.4915120804
310	0.4911239938
311	0.4907074626
312	0.4903998901
313	0.4900503934
314	0.4896799981
315	0.4894192593
316	0.489125255
317	0.4888074598
318	0.4884770187
319	0.4881263836
320	0.4877586487
321	0.4873858528
322	0.4871003952
323	0.486618485
324	0.4863400415
