fighter_url,first_name,last_name,nickname,stance,wins,losses,draws,slpm,sapm,td_avg,sub_avg,full_name,height_inches,reach_inches,weight_lbs,total_fights,win_pct,str_acc_career,str_def_career,td_acc_career,td_def_career,dob_parsed
http://www.ufcstats.com/fighter-details/38c7f72747f4f712,Gillian,Robertson,The Savage,Orthodox,17,8,0,2.71,2.86,2.76,0.9,Gillian Robertson,65.0,63.0,115.0,25,0.68,0.48,0.56,0.4,0.38,1995-05-17
http://www.ufcstats.com/fighter-details/b2aa1e07b5b3306e,Chad,Robichaux,Robo,,13,2,0,0.0,0.0,0.0,0.0,Chad Robichaux,64.0,,135.0,15,0.8666666666666667,,,,,1975-08-18
http://www.ufcstats.com/fighter-details/4604ab1de9058474,Mark,Robinson,White Rhino,Orthodox,1,0,0,0.0,5.8,0.0,0.0,Mark Robinson,72.0,,265.0,1,1.0,,0.13,,,
http://www.ufcstats.com/fighter-details/1a1a4d7a29041d77,Colin,Robinson,Big C,Orthodox,10,12,0,6.19,7.91,2.58,5.2,Colin Robinson,76.0,,243.0,22,0.45454545454545453,0.69,0.37,1.0,0.5,1968-11-27
http://www.ufcstats.com/fighter-details/cbe79765d44bd172,Alvin,Robinson,,Southpaw,15,9,0,1.57,1.29,1.24,1.2,Alvin Robinson,69.0,68.0,155.0,24,0.625,0.5,0.51,0.5,0.25,1982-07-16
http://www.ufcstats.com/fighter-details/2782235b078b72a7,Damonte,Robinson,,,6,1,1,0.0,0.0,0.0,0.0,Damonte Robinson,72.0,77.0,155.0,8,0.75,,,,,1995-06-10
http://www.ufcstats.com/fighter-details/d403b1a6f278c95e,Vagner,Rocha,Ceara,Orthodox,14,4,0,2.64,4.5,1.4,1.9,Vagner Rocha,70.0,73.0,155.0,18,0.7777777777777778,0.42,0.48,0.33,0.5,1982-06-06
http://www.ufcstats.com/fighter-details/4f736494fc733095,Carlos Eduardo,Rocha,Ta Danado,Orthodox,9,4,0,1.24,1.85,0.0,1.4,Carlos Eduardo Rocha,70.0,73.0,170.0,13,0.6923076923076923,0.34,0.55,,0.52,1981-07-12
http://www.ufcstats.com/fighter-details/5921fd3f889afa3b,Pedro,Rocha,,,1,0,0,0.0,0.0,0.0,0.0,Pedro Rocha,,,,1,1.0,,,,,
http://www.ufcstats.com/fighter-details/e0d3d9b564f95635,Lucas,Rocha,Fenomeno,Orthodox,18,2,0,5.09,3.67,1.64,0.0,Lucas Rocha,63.0,64.0,125.0,20,0.9,0.49,0.56,0.75,0.76,2000-08-12
http://www.ufcstats.com/fighter-details/52b6bf4528130e86,Shem,Rock,,Southpaw,12,3,1,3.03,4.4,1.0,0.0,Shem Rock,71.0,73.0,155.0,16,0.75,0.39,0.49,0.13,0.88,1993-11-05
http://www.ufcstats.com/fighter-details/c75b99887c8c3f5a,Keith,Rockel,Rock,Orthodox,12,4,1,1.13,0.21,4.63,4.6,Keith Rockel,72.0,,185.0,17,0.7058823529411765,0.73,0.66,0.75,1.0,1965-08-28
http://www.ufcstats.com/fighter-details/00e11b5c8b7bfeeb,Luke,Rockhold,,Southpaw,16,6,0,4.1,2.68,0.7,1.0,Luke Rockhold,75.0,77.0,185.0,22,0.7272727272727273,0.49,0.53,0.29,0.65,1984-10-17
http://www.ufcstats.com/fighter-details/1abf785143f8d5ec,Kevin,Roddy,K-Rod,,15,16,1,2.64,2.38,0.0,0.0,Kevin Roddy,71.0,,145.0,32,0.46875,0.3,0.6,,0.5,
http://www.ufcstats.com/fighter-details/d1c65d2cf2925ddd,Gregory,Rodrigues,Robocop,Orthodox,19,6,0,5.53,4.78,1.9,0.4,Gregory Rodrigues,75.0,75.0,185.0,25,0.76,0.51,0.5,0.34,0.75,1992-02-17
http://www.ufcstats.com/fighter-details/102a8fdf8cbf7467,Kleydson,Rodrigues,KR,Orthodox,8,4,0,4.58,2.29,0.6,0.6,Kleydson Rodrigues,65.0,67.0,135.0,12,0.6666666666666666,0.57,0.53,0.22,0.53,1995-10-22
