event_name,event_url,event_date,location
UFC 321: Aspinall vs. Gane,http://www.ufcstats.com/event-details/7956f026e2672c47,"Abu Dhabi, Abu Dhabi, United Arab Emirates",
UFC Fight Night: De Ridder vs. Allen,http://www.ufcstats.com/event-details/38e5d9dcb0fddc42,"Vancouver, British Columbia, Canada",
UFC Fight Night: Oliveira vs. Gamrot,http://www.ufcstats.com/event-details/9336e86cfd4ceaa1,"Rio de Janeiro, Rio de Janeiro, Brazil",
UFC 320: Ankalaev vs. Pereira 2,http://www.ufcstats.com/event-details/8944a0f9b2f0ce6d,"Las Vegas, Nevada, USA",
UFC Fight Night: Ulberg vs. Reyes,http://www.ufcstats.com/event-details/ed220e87bef0cc64,"Perth, Western Australia, Australia",
UFC Fight Night: Lopes vs. Silva,http://www.ufcstats.com/event-details/5efaaf313b652dd7,"San Antonio, Texas, USA",
UFC Fight Night: Imavov vs. Borralho,http://www.ufcstats.com/event-details/6e380a4d73ab4f0e,"Paris, Ile-de-France, France",
UFC Fight Night: Walker vs. Zhang,http://www.ufcstats.com/event-details/754968e325d6f60d,"Shanghai, Hebei, China",
UFC - Road to UFC 4.6,http://www.ufcstats.com/event-details/8fbcd82bf7f352bf,"Shanghai, Hebei, China",
UFC 319: Du Plessis vs. Chimaev,http://www.ufcstats.com/event-details/421ccfc6ddb17958,"Chicago, Illinois, USA",
UFC Fight Night: Dolidze vs. Hernandez,http://www.ufcstats.com/event-details/6cd3dfc54f01287f,"Las Vegas, Nevada, USA",
UFC Fight Night: Taira vs. Park,http://www.ufcstats.com/event-details/f2c934689243fe4e,"Las Vegas, Nevada, USA",
UFC Fight Night: Whittaker vs. De Ridder,http://www.ufcstats.com/event-details/28d8638ea0a71908,"Abu Dhabi, Abu Dhabi, United Arab Emirates",
UFC 318: Holloway vs. Poirier 3,http://www.ufcstats.com/event-details/b8e2f10efb6eca85,"New Orleans, Louisiana, USA",
UFC Fight Night: Lewis vs. Teixeira,http://www.ufcstats.com/event-details/7b03d9df5910917d,"Nashville, Tennessee, USA",
UFC 317: Topuria vs. Oliveira,http://www.ufcstats.com/event-details/66766984842c13dc,"Las Vegas, Nevada, USA",
UFC Fight Night: Hill vs. Rountree Jr.,http://www.ufcstats.com/event-details/400c7b43c86d27d3,"Baku, Azerbaijan",
UFC Fight Night: Usman vs. Buckley,http://www.ufcstats.com/event-details/de277a4abcfeea46,"Atlanta, Georgia, USA",
UFC 316: Dvalishvili vs. O'Malley 2,http://www.ufcstats.com/event-details/18c49685296c60e6,"Newark, New Jersey, USA",
UFC Fight Night: Blanchfield vs. Barber,http://www.ufcstats.com/event-details/2a898bf9fb7710b3,"Las Vegas, Nevada, USA",
UFC Fight Night: Burns vs. Morales,http://www.ufcstats.com/event-details/8ad022dd81224f61,"Las Vegas, Nevada, USA",
UFC 315: Muhammad vs. Della Maddalena,http://www.ufcstats.com/event-details/118463dd8db16e7f,"Montreal, Quebec, Canada",
UFC Fight Night: Sandhagen vs. Figueiredo,http://www.ufcstats.com/event-details/de20ffb3fc2e7629,"Des Moines, Iowa, USA",
UFC Fight Night: Machado Garry vs. Prates,http://www.ufcstats.com/event-details/b2e3aca4cd363477,"Kansas City, Missouri, USA",
UFC 314: Volkanovski vs. Lopes,http://www.ufcstats.com/event-details/22f4b6cb6b1bd7fd,"Miami, Florida, USA",
UFC Fight Night: Emmett vs. Murphy,http://www.ufcstats.com/event-details/86b30a86664cb6e4,"Las Vegas, Nevada, USA",
UFC Fight Night: Moreno vs. Erceg,http://www.ufcstats.com/event-details/0f7210aa8d61af8d,"Mexico City, Distrito Federal, Mexico",
UFC Fight Night: Edwards vs. Brady,http://www.ufcstats.com/event-details/cc2ad11b1f9d818b,"London, England, United Kingdom",
UFC Fight Night: Vettori vs. Dolidze 2,http://www.ufcstats.com/event-details/39f62b833e4cf126,"Las Vegas, Nevada, USA",
UFC 313: Pereira vs. Ankalaev,http://www.ufcstats.com/event-details/ca936c67687789e9,"Las Vegas, Nevada, USA",
UFC Fight Night: Kape vs. Almabayev,http://www.ufcstats.com/event-details/9766ed20b68c7c33,"Las Vegas, Nevada, USA",
UFC Fight Night: Cejudo vs. Song,http://www.ufcstats.com/event-details/c50ea21fe9ef478d,"Seattle, Washington, USA",
UFC Fight Night: Cannonier vs. Rodrigues,http://www.ufcstats.com/event-details/ce7871949b0ed2bf,"Las Vegas, Nevada, USA",
UFC 312: Du Plessis vs. Strickland 2,http://www.ufcstats.com/event-details/e6015889f50075d2,"Sydney, New South Wales, Australia",
UFC Fight Night: Adesanya vs. Imavov,http://www.ufcstats.com/event-details/80dbeb1dd5b53e64,"Riyadh, Riyadh, Saudi Arabia",
UFC 311: Makhachev vs. Moicano,http://www.ufcstats.com/event-details/39f68882def7a507,"Inglewood, California, USA",
UFC Fight Night: Dern vs. Ribas 2,http://www.ufcstats.com/event-details/81ddc98fceb30086,"Las Vegas, Nevada, USA",
UFC Fight Night: Covington vs. Buckley,http://www.ufcstats.com/event-details/72c9c2eadfc3277e,"Tampa, Florida, USA",
UFC 310: Pantoja vs. Asakura,http://www.ufcstats.com/event-details/ad23903ef3af7406,"Las Vegas, Nevada, USA",
UFC Fight Night: Yan vs. Figueiredo,http://www.ufcstats.com/event-details/e955046551f8c7dd,"Macau, China",
UFC 309: Jones vs. Miocic,http://www.ufcstats.com/event-details/daff32bc96d1eabf,"New York City, New York, USA",
UFC Fight Night: Magny vs. Prates,http://www.ufcstats.com/event-details/585f9ffdb0cd0466,"Las Vegas, Nevada, USA",
UFC Fight Night: Moreno vs. Albazi,http://www.ufcstats.com/event-details/3ab0df1ddd5f1dc2,"Edmonton, Alberta, Canada",
UFC 308: Topuria vs. Holloway,http://www.ufcstats.com/event-details/221b2a3070c7ce3e,"Abu Dhabi, Abu Dhabi, United Arab Emirates",
UFC Fight Night: Hernandez vs. Pereira,http://www.ufcstats.com/event-details/6a0047ac8c99fece,"Las Vegas, Nevada, USA",
UFC Fight Night: Royval vs. Taira,http://www.ufcstats.com/event-details/5bdcbd8dd681a257,"Las Vegas, Nevada, USA",
UFC 307: Pereira vs. Rountree Jr.,http://www.ufcstats.com/event-details/eee8efec7b951d84,"Salt Lake City, Utah, USA",
UFC Fight Night: Moicano vs. Saint Denis,http://www.ufcstats.com/event-details/079488710f012779,"Paris, Ile-de-France, France",
UFC 306: Riyadh Season Noche UFC,http://www.ufcstats.com/event-details/0c01568b1ac77bff,"Las Vegas, Nevada, USA",
UFC Fight Night: Burns vs. Brady,http://www.ufcstats.com/event-details/ee0b69e307c857e5,"Las Vegas, Nevada, USA",
UFC Fight Night: Cannonier vs. Borralho,http://www.ufcstats.com/event-details/be8ad887e4d674b0,"Las Vegas, Nevada, USA",
UFC 305: Du Plessis vs. Adesanya,http://www.ufcstats.com/event-details/32ba186f4b0e3267,"Perth, Western Australia, Australia",
UFC Fight Night: Tybura vs. Spivac 2,http://www.ufcstats.com/event-details/2c733e059462c1dc,"Las Vegas, Nevada, USA",
UFC Fight Night: Sandhagen vs. Nurmagomedov,http://www.ufcstats.com/event-details/fe435e440b5de0ff,"Abu Dhabi, Abu Dhabi, United Arab Emirates",
UFC 304: Edwards vs. Muhammad 2,http://www.ufcstats.com/event-details/026b4f7049085842,"Manchester, England, United Kingdom",
UFC Fight Night: Lemos vs. Jandiroba,http://www.ufcstats.com/event-details/c11036da9162cb5f,"Las Vegas, Nevada, USA",
UFC Fight Night: Namajunas vs. Cortez,http://www.ufcstats.com/event-details/66e0a70352fef46a,"Denver, Colorado, USA",
UFC 303: Pereira vs. Prochazka 2,http://www.ufcstats.com/event-details/f3743d8ef5dde970,"Las Vegas, Nevada, USA",
UFC Fight Night: Whittaker vs. Aliskerov,http://www.ufcstats.com/event-details/b12a1d19ee383b7c,"Riyadh, Riyadh, Saudi Arabia",
UFC Fight Night: Perez vs. Taira,http://www.ufcstats.com/event-details/9c5828c6fd9dc948,"Las Vegas, Nevada, USA",
UFC Fight Night: Cannonier vs. Imavov,http://www.ufcstats.com/event-details/cba3a2dfbc06ce79,"Louisville, Kentucky, USA",
UFC 302: Makhachev vs. Poirier,http://www.ufcstats.com/event-details/6e4acc2c115215b5,"Newark, New Jersey, USA",
UFC Fight Night: Barboza vs. Murphy,http://www.ufcstats.com/event-details/46baf0f57edfa4df,"Las Vegas, Nevada, USA",
UFC Fight Night: Lewis vs. Nascimento,http://www.ufcstats.com/event-details/5dfe71ade71f3a4b,"St. Louis, Missouri, USA",
UFC 301: Pantoja vs. Erceg,http://www.ufcstats.com/event-details/981ab7a0576f76a0,"Rio de Janeiro, Rio de Janeiro, Brazil",
UFC Fight Night: Nicolau vs. Perez,http://www.ufcstats.com/event-details/a16ce18149021139,"Las Vegas, Nevada, USA",
UFC 300: Pereira vs. Hill,http://www.ufcstats.com/event-details/6750e338922a099d,"Las Vegas, Nevada, USA",
UFC Fight Night: Allen vs. Curtis 2,http://www.ufcstats.com/event-details/899eaba48fa864a6,"Las Vegas, Nevada, USA",
UFC Fight Night: Blanchfield vs. Fiorot,http://www.ufcstats.com/event-details/dba230fe33011201,"Atlantic City, New Jersey, USA",
UFC Fight Night: Ribas vs. Namajunas,http://www.ufcstats.com/event-details/79ff6545b0abc685,"Las Vegas, Nevada, USA",
UFC Fight Night: Tuivasa vs. Tybura,http://www.ufcstats.com/event-details/c398235fcaf8d71d,"Las Vegas, Nevada, USA",
UFC 299: O'Malley vs. Vera 2,http://www.ufcstats.com/event-details/a9df5ae20a97b090,"Miami, Florida, USA",
UFC Fight Night: Rozenstruik vs. Gaziev,http://www.ufcstats.com/event-details/e4a9dbade7c7e1a7,"Las Vegas, Nevada, USA",
UFC Fight Night: Moreno vs. Royval 2,http://www.ufcstats.com/event-details/902ab9197b83d0db,"Mexico City, Distrito Federal, Mexico",
UFC 298: Volkanovski vs. Topuria,http://www.ufcstats.com/event-details/dab0e6cb8c932162,"Anaheim, California, USA",
UFC Fight Night: Hermansson vs. Pyfer,http://www.ufcstats.com/event-details/eaea0fc7b76525a8,"Las Vegas, Nevada, USA",
UFC Fight Night: Dolidze vs. Imavov,http://www.ufcstats.com/event-details/cce79e827569f26e,"Las Vegas, Nevada, USA",
UFC 297: Strickland vs. Du Plessis,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc,"Toronto, Ontario, Canada",
UFC Fight Night: Ankalaev vs. Walker 2,http://www.ufcstats.com/event-details/010986ee359fb863,"Las Vegas, Nevada, USA",
UFC 296: Edwards vs. Covington,http://www.ufcstats.com/event-details/a8e8587a06e73c87,"Las Vegas, Nevada, USA",
UFC Fight Night: Song vs. Gutierrez,http://www.ufcstats.com/event-details/5ef0088c1b19beeb,"Las Vegas, Nevada, USA",
UFC Fight Night: Dariush vs. Tsarukyan,http://www.ufcstats.com/event-details/53e4e21f4c688801,"Austin, Texas, USA",
UFC Fight Night: Allen vs. Craig,http://www.ufcstats.com/event-details/3feed7d02711d8b7,"Las Vegas, Nevada, USA",
UFC 295: Prochazka vs. Pereira,http://www.ufcstats.com/event-details/5a558ba1ff5e9121,"New York City, New York, USA",
UFC Fight Night: Almeida vs. Lewis,http://www.ufcstats.com/event-details/7c4ec656d8fcb867,"Sao Paulo, Sao Paulo, Brazil",
UFC 294: Makhachev vs. Volkanovski 2,http://www.ufcstats.com/event-details/13a0fb8fbdafb54f,"Abu Dhabi, Abu Dhabi, United Arab Emirates",
UFC Fight Night: Yusuff vs. Barboza,http://www.ufcstats.com/event-details/f3a078277b3b8ff4,"Las Vegas, Nevada, USA",
UFC Fight Night: Dawson vs. Green,http://www.ufcstats.com/event-details/c8a49ff2acb6f3c5,"Las Vegas, Nevada, USA",
UFC Fight Night: Fiziev vs. Gamrot,http://www.ufcstats.com/event-details/c945adc22c2bfe8f,"Las Vegas, Nevada, USA",
UFC Fight Night: Grasso vs. Shevchenko 2,http://www.ufcstats.com/event-details/8fa2b06572365321,"Las Vegas, Nevada, USA",
UFC 293: Adesanya vs. Strickland,http://www.ufcstats.com/event-details/ece280745f8727b8,"Sydney, New South Wales, Australia",
