event,ufc_num,fighter_1,fighter_2,odds_1,odds_2,fair_1,fair_2,model_p1,model_p2,p_xgb,p_lgb,p_cat,model_pick,unanimous,confidence,tier,actual_winner,correct,swapped,unan_label,pick,model_prob,market_fair,american_odds,decimal_odds,edge,won,qualifies,odds_bucket
UFC 322,322.0,Ethyn Ewing,Malcolm Wellmaker,333,-452,0.2199939421957946,0.7800060578042054,0.2837,0.7163,0.29350000619888306,0.2328,0.3248,Malcolm Wellmaker,True,0.7163,HIGH,Ethyn Ewing,False,True,Unanimous,Malcolm Wellmaker,0.7163,0.7800060578042054,-452,1.2212,-0.0637,False,False,Heavy Fav (-251 or more)
UFC 322,322.0,Gerald Meerschaert,Kyle Daukaus,380,-515,0.1992225461613217,0.8007774538386784,0.197,0.803,0.12939999997615814,0.1942,0.2673,Kyle Daukaus,True,0.803,VERY_HIGH,Kyle Daukaus,True,True,Unanimous,Kyle Daukaus,0.803,0.8007774538386784,-515,1.1942,0.0022,True,True,Heavy Fav (-251 or more)
UFC 322,322.0,Chepe Mariscal,Pat Sabbatini,-70,-119,0.4311023622047243,0.5688976377952756,0.3107,0.6893,0.20329999923706055,0.358,0.3708,Pat Sabbatini,True,0.6893,HIGH,Pat Sabbatini,True,True,Unanimous,Pat Sabbatini,0.6893,0.5688976377952756,-119,1.8403,0.1204,True,True,Slight Fav (-100 to -150)
UFC 322,322.0,Angela Hill,Fatima Kline,393,-540,0.1938101871479619,0.806189812852038,0.1039,0.8961,0.07079999893903732,0.0439,0.1971,Fatima Kline,True,0.8961,VERY_HIGH,Fatima Kline,True,False,Unanimous,Fatima Kline,0.8961,0.806189812852038,-540,1.1852,0.0899,True,True,Heavy Fav (-251 or more)
UFC 323,323.0,Antonio Trocoli,Mansur Abdul-Malik,813,-1485,0.1046684782788143,0.8953315217211856,0.0638,0.9362,0.055399999022483826,0.042,0.094,Mansur Abdul-Malik,True,0.9362,VERY_HIGH,Mansur Abdul-Malik,True,True,Unanimous,Mansur Abdul-Malik,0.9362,0.8953315217211856,-1485,1.0673,0.0409,True,True,Heavy Fav (-251 or more)
UFC 323,323.0,Mairon Santos,Muhammad Naimov,-243,198,0.6785801300672826,0.3214198699327173,0.8115,0.1885,0.8040000200271606,0.8099,0.8206,Mairon Santos,True,0.8115,VERY_HIGH,Mairon Santos,True,True,Unanimous,Mairon Santos,0.8115,0.6785801300672826,-243,1.4115,0.1329,True,True,Moderate Fav (-151 to -250)
UFC 324,324.0,Denzel Freeman,Josh Hokit,208,-261,0.3099031659913467,0.6900968340086533,0.033,0.967,0.0333000011742115,0.0167,0.0491,Josh Hokit,True,0.967,VERY_HIGH,Josh Hokit,True,True,Unanimous,Josh Hokit,0.967,0.6900968340086533,-261,1.3831,0.2769,True,True,Heavy Fav (-251 or more)
UFC 324,324.0,Adam Fugitt,Ty Miller,378,-512,0.2000418388159614,0.7999581611840384,0.0924,0.9076,0.07490000128746033,0.0723,0.1302,Ty Miller,True,0.9076,VERY_HIGH,Ty Miller,True,False,Unanimous,Ty Miller,0.9076,0.7999581611840384,-512,1.1953,0.1076,True,True,Heavy Fav (-251 or more)
UFC 326,326.0,Jesus Aguilar,Sumudaerji Sumudaerji,149,-182,0.3835795315432955,0.6164204684567045,0.3576,0.6424,0.35339999198913574,0.438,0.2813,Sumudaerji Sumudaerji,True,0.6424,MEDIUM,Sumudaerji Sumudaerji,True,True,Unanimous,Sumudaerji Sumudaerji,0.6424,0.6164204684567045,-182,1.5495,0.026,True,True,Moderate Fav (-151 to -250)
UFC 326,326.0,Diyar Nurgozhay,Rafael Tobias,146,-181,0.3869137774350783,0.6130862225649216,0.8399,0.1601,0.8816999793052673,0.8982,0.7397,Diyar Nurgozhay,True,0.8399,VERY_HIGH,Diyar Nurgozhay,True,True,Unanimous,Diyar Nurgozhay,0.8399,0.3869137774350783,146,2.46,0.453,True,True,Underdog (+100 or more)
UFC 326,326.0,Luke Fernandez,Rodolfo Bellato,-233,186,0.6667934119153875,0.3332065880846124,0.0918,0.9082,0.06199999898672104,0.0935,0.1198,Rodolfo Bellato,True,0.9082,VERY_HIGH,Rodolfo Bellato,True,False,Unanimous,Rodolfo Bellato,0.9082,0.3332065880846124,186,2.86,0.575,True,True,Underdog (+100 or more)
UFC 327,327.0,Azamat Murzakanov,Paulo Costa,-185,137,0.6060543230354551,0.3939456769645449,0.9194,0.0806,0.9239000082015991,0.9353,0.8991,Azamat Murzakanov,True,0.9194,VERY_HIGH,Paulo Costa,False,False,Unanimous,Azamat Murzakanov,0.9194,0.6060543230354551,-185,1.5405,0.3133,False,True,Moderate Fav (-151 to -250)
UFC 327,327.0,Carlos Ulberg,Jiri Prochazka,-851,257,0.7615985680872984,0.2384014319127014,0.8195,0.1805,0.8206999897956848,0.8666,0.7712,Carlos Ulberg,True,0.8195,VERY_HIGH,Carlos Ulberg,True,True,Unanimous,Carlos Ulberg,0.8195,0.7615985680872984,-851,1.1175,0.0579,True,True,Heavy Fav (-251 or more)
UFC 327,327.0,Curtis Blaydes,Josh Hokit,87,-224,0.436140426448417,0.563859573551583,0.2625,0.7375,0.2549999952316284,0.2345,0.2979,Josh Hokit,True,0.7375,HIGH,Josh Hokit,True,False,Unanimous,Josh Hokit,0.7375,0.563859573551583,-224,1.4464,0.1736,True,True,Moderate Fav (-151 to -250)
UFC 327,327.0,Dominick Reyes,Johnny Walker,-168,112,0.5706229172007177,0.4293770827992821,0.6301,0.3699,0.6690999865531921,0.6825,0.5387,Dominick Reyes,True,0.6301,MEDIUM,Dominick Reyes,True,False,Unanimous,Dominick Reyes,0.6301,0.5706229172007177,-168,1.5952,0.0595,True,True,Moderate Fav (-151 to -250)
UFC 327,327.0,Cub Swanson,Nate Landwehr,-176,118,0.5816153286441911,0.4183846713558088,0.7467,0.2533,0.7422999739646912,0.837,0.6607,Cub Swanson,True,0.7467,HIGH,Cub Swanson,True,False,Unanimous,Cub Swanson,0.7467,0.5816153286441911,-176,1.5682,0.1651,True,True,Moderate Fav (-151 to -250)
UFC 327,327.0,Aaron Pico,Patricio Freire,-2004,934,0.9078218262494,0.0921781737506002,0.2643,0.7357,0.31859999895095825,0.1729,0.3016,Patricio Freire,True,0.7357,HIGH,Aaron Pico,False,True,Unanimous,Patricio Freire,0.7357,0.0921781737506002,934,10.34,0.6435,False,True,Underdog (+100 or more)
UFC 327,327.0,Kevin Holland,Randy Brown,-862,462,0.834321890866004,0.165678109133996,0.6053,0.3947,0.6772000193595886,0.5386,0.6003,Kevin Holland,True,0.6053,MEDIUM,Kevin Holland,True,False,Unanimous,Kevin Holland,0.6053,0.834321890866004,-862,1.116,-0.229,True,False,Heavy Fav (-251 or more)
UFC 327,327.0,Esteban Ribovics,Mateusz Gamrot,358,-474,0.209113562508197,0.7908864374918031,0.2274,0.7726,0.2298000007867813,0.2123,0.2399,Mateusz Gamrot,True,0.7726,HIGH,Mateusz Gamrot,True,True,Unanimous,Mateusz Gamrot,0.7726,0.7908864374918031,-474,1.211,-0.0183,True,False,Heavy Fav (-251 or more)
UFC 327,327.0,Lupita Godinez,Tatiana Suarez,200,-255,0.3169642857142857,0.6830357142857143,0.0746,0.9254,0.04179999977350235,0.0292,0.1527,Tatiana Suarez,True,0.9254,VERY_HIGH,Tatiana Suarez,True,True,Unanimous,Tatiana Suarez,0.9254,0.6830357142857143,-255,1.3922,0.2424,True,True,Heavy Fav (-251 or more)
UFC 327,327.0,Kelvin Gastelum,Vicente Luque,-249,164,0.6532056123057355,0.3467943876942644,0.503,0.497,0.5536999702453613,0.4425,0.5128,Kelvin Gastelum,False,0.503,NO_CONF,Vicente Luque,False,False,Split,Kelvin Gastelum,0.503,0.6532056123057355,-249,1.4016,-0.1502,False,False,Moderate Fav (-151 to -250)
UFC 327,327.0,Charles Radtke,Francisco Prado,-513,371,0.7976383437375174,0.2023616562624825,0.6049,0.3951,0.580299973487854,0.5729,0.6614,Charles Radtke,True,0.6049,MEDIUM,Charles Radtke,True,False,Unanimous,Charles Radtke,0.6049,0.7976383437375174,-513,1.1949,-0.1927,True,False,Heavy Fav (-251 or more)
