number,value,datetime_start,datetime_complete,duration,params_auto_class_weights,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_random_strength,params_subsample,user_attrs_avg_best_iteration,user_attrs_cv_accuracy,user_attrs_cv_logloss,user_attrs_fold_accs,user_attrs_fold_lls,state,model,cv_accuracy,cv_logloss,avg_best_iteration
50,0.5681349880087765,2026-04-14 23:43:06.671251,2026-04-14 23:45:40.408647,0 days 00:02:33.737396,,0.9375220851061814,108,8,1.9202482762337194,0.013011086120142876,1,0.8317881540077577,0.7374326818467014,515.8,0.7063679245283019,0.5681349880087765,"[0.6426886792452831, 0.7004716981132075, 0.7028301886792453, 0.7417452830188679, 0.7441037735849056]","[0.6200246635694447, 0.5846071219636052, 0.5824680173217465, 0.5291217599667126, 0.5244533772223738]",COMPLETE,cat,0.7063679245283019,0.5681349880087765,515.8
51,0.5677660649171793,2026-04-14 23:45:40.422877,2026-04-14 23:46:25.549332,0 days 00:00:45.126455,,0.2705240028014016,33,8,6.487710160423129,0.017431557924880242,16,0.21844236406027506,0.6251161920098318,351.8,0.7049528301886793,0.5677660649171793,"[0.6474056603773585, 0.7063679245283019, 0.6933962264150944, 0.7488207547169812, 0.7287735849056604]","[0.6187865224622795, 0.579909794468536, 0.5796466081427223, 0.5248758899055431, 0.5356115096068158]",COMPLETE,cat,0.7049528301886793,0.5677660649171793,351.8
52,0.5813339328613558,2026-04-14 23:46:25.564262,2026-04-14 23:46:40.931646,0 days 00:00:15.367384,,2.432408988658296,140,7,3.0670426349745328,0.04974522247103407,12,0.5604037308524676,0.6884979853831891,,,,,,PRUNED,cat,,,
53,0.6118429976801144,2026-04-14 23:46:40.949344,2026-04-14 23:47:00.582075,0 days 00:00:19.632731,,2.780387833970531,120,9,2.0252902058000912,0.08223449520315748,19,0.16791126151509417,0.7653554253891911,,,,,,PRUNED,cat,,,
54,0.5659835506223291,2026-04-14 23:47:00.597519,2026-04-14 23:48:08.486277,0 days 00:01:07.888758,,1.7103326936628755,84,7,1.1566159434390693,0.014105586713552599,12,0.28568359080318406,0.600965380722987,469.6,0.7007075471698114,0.5659835506223291,"[0.6391509433962265, 0.6851415094339622, 0.6922169811320755, 0.7441037735849056, 0.7429245283018868]","[0.6195077374169203, 0.5862032021949592, 0.5776905636330758, 0.520358358313055, 0.5261578915536348]",COMPLETE,cat,0.7007075471698114,0.5659835506223291,469.6
55,0.6015756979591216,2026-04-14 23:48:08.501279,2026-04-14 23:48:21.288047,0 days 00:00:12.786768,,1.3543856980298659,93,6,1.1815886217552252,0.02210125265882817,14,0.9973758934469314,0.5691434500840888,,,,,,PRUNED,cat,,,
56,0.567918995286787,2026-04-14 23:48:21.303518,2026-04-14 23:49:26.693845,0 days 00:01:05.390327,,1.6690749534718987,99,7,0.5973886933448888,0.011798903070809344,10,0.3454508439136245,0.6075051727180265,415.4,0.707311320754717,0.567918995286787,"[0.6415094339622641, 0.7099056603773585, 0.6957547169811321, 0.7476415094339622, 0.7417452830188679]","[0.6194675589970059, 0.5807077117811166, 0.5823325040618197, 0.5266390682238145, 0.5304481333701782]",COMPLETE,cat,0.707311320754717,0.567918995286787,415.4
57,0.5693483172415827,2026-04-14 23:49:26.708952,2026-04-14 23:50:18.882186,0 days 00:00:52.173234,,1.811621145348851,83,6,4.307347702290716,0.014993868018688742,24,1.369444067447854,0.7020216890186812,588.2,0.7068396226415095,0.5693483172415827,"[0.6462264150943396, 0.6969339622641509, 0.7016509433962265, 0.7488207547169812, 0.7405660377358491]","[0.6161901724607518, 0.5892734470955217, 0.5841250461740847, 0.5265340465263708, 0.5306188739511846]",COMPLETE,cat,0.7068396226415095,0.5693483172415827,588.2
58,0.6438570047251114,2026-04-14 23:50:18.896507,2026-04-14 23:50:22.270300,0 days 00:00:03.373793,,0.6734762143073969,64,8,1.6918228444324006,0.29940214978875335,3,0.8455643012075117,0.6152018687587512,,,,,,PRUNED,cat,,,
59,0.5825837156212679,2026-04-14 23:50:22.285947,2026-04-14 23:51:38.403380,0 days 00:01:16.117433,Balanced,1.2869455471379143,237,7,6.9873688099407065,0.016787152803952123,7,0.5502140237548643,0.5858840613271067,,,,,,PRUNED,cat,,,
60,0.6062070269764229,2026-04-14 23:51:38.422876,2026-04-14 23:51:55.021477,0 days 00:00:16.598601,,1.7814452278922746,43,8,0.977151906420809,0.026741328371565707,16,1.7388225105085569,0.678846212037122,,,,,,PRUNED,cat,,,
