event_name,event_url,event_date,location,event_date_parsed
UFC Fight Night: Machado Garry vs. Prates,http://www.ufcstats.com/event-details/b2e3aca4cd363477,2025-04-26,"Kansas City, Missouri, USA",2025-04-26
UFC 314: Volkanovski vs. Lopes,http://www.ufcstats.com/event-details/22f4b6cb6b1bd7fd,2025-04-12,"Miami, Florida, USA",2025-04-12
UFC Fight Night: Emmett vs. Murphy,http://www.ufcstats.com/event-details/86b30a86664cb6e4,2025-04-05,"Las Vegas, Nevada, USA",2025-04-05
UFC Fight Night: Moreno vs. Erceg,http://www.ufcstats.com/event-details/0f7210aa8d61af8d,2025-03-29,"Mexico City, Distrito Federal, Mexico",2025-03-29
UFC Fight Night: Edwards vs. Brady,http://www.ufcstats.com/event-details/cc2ad11b1f9d818b,2025-03-22,"London, England, United Kingdom",2025-03-22
UFC Fight Night: Vettori vs. Dolidze 2,http://www.ufcstats.com/event-details/39f62b833e4cf126,2025-03-15,"Las Vegas, Nevada, USA",2025-03-15
UFC 313: Pereira vs. Ankalaev,http://www.ufcstats.com/event-details/ca936c67687789e9,2025-03-08,"Las Vegas, Nevada, USA",2025-03-08
UFC Fight Night: Kape vs. Almabayev,http://www.ufcstats.com/event-details/9766ed20b68c7c33,2025-03-01,"Las Vegas, Nevada, USA",2025-03-01
UFC Fight Night: Cejudo vs. Song,http://www.ufcstats.com/event-details/c50ea21fe9ef478d,2025-02-22,"Seattle, Washington, USA",2025-02-22
UFC Fight Night: Cannonier vs. Rodrigues,http://www.ufcstats.com/event-details/ce7871949b0ed2bf,2025-02-15,"Las Vegas, Nevada, USA",2025-02-15
UFC 312: Du Plessis vs. Strickland 2,http://www.ufcstats.com/event-details/e6015889f50075d2,2025-02-08,"Sydney, New South Wales, Australia",2025-02-08
UFC Fight Night: Adesanya vs. Imavov,http://www.ufcstats.com/event-details/80dbeb1dd5b53e64,2025-02-01,"Riyadh, Riyadh, Saudi Arabia",2025-02-01
UFC 311: Makhachev vs. Moicano,http://www.ufcstats.com/event-details/39f68882def7a507,2025-01-18,"Inglewood, California, USA",2025-01-18
UFC Fight Night: Dern vs. Ribas 2,http://www.ufcstats.com/event-details/81ddc98fceb30086,2025-01-11,"Las Vegas, Nevada, USA",2025-01-11
UFC Fight Night: Covington vs. Buckley,http://www.ufcstats.com/event-details/72c9c2eadfc3277e,2024-12-14,"Tampa, Florida, USA",2024-12-14
UFC 310: Pantoja vs. Asakura,http://www.ufcstats.com/event-details/ad23903ef3af7406,2024-12-07,"Las Vegas, Nevada, USA",2024-12-07
UFC Fight Night: Yan vs. Figueiredo,http://www.ufcstats.com/event-details/e955046551f8c7dd,2024-11-23,"Macau, China",2024-11-23
UFC 309: Jones vs. Miocic,http://www.ufcstats.com/event-details/daff32bc96d1eabf,2024-11-16,"New York City, New York, USA",2024-11-16
UFC Fight Night: Magny vs. Prates,http://www.ufcstats.com/event-details/585f9ffdb0cd0466,2024-11-09,"Las Vegas, Nevada, USA",2024-11-09
UFC Fight Night: Moreno vs. Albazi,http://www.ufcstats.com/event-details/3ab0df1ddd5f1dc2,2024-11-02,"Edmonton, Alberta, Canada",2024-11-02
UFC 308: Topuria vs. Holloway,http://www.ufcstats.com/event-details/221b2a3070c7ce3e,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2024-10-26
UFC Fight Night: Hernandez vs. Pereira,http://www.ufcstats.com/event-details/6a0047ac8c99fece,2024-10-19,"Las Vegas, Nevada, USA",2024-10-19
UFC Fight Night: Royval vs. Taira,http://www.ufcstats.com/event-details/5bdcbd8dd681a257,2024-10-12,"Las Vegas, Nevada, USA",2024-10-12
UFC 307: Pereira vs. Rountree Jr.,http://www.ufcstats.com/event-details/eee8efec7b951d84,2024-10-05,"Salt Lake City, Utah, USA",2024-10-05
UFC Fight Night: Moicano vs. Saint Denis,http://www.ufcstats.com/event-details/079488710f012779,2024-09-28,"Paris, Ile-de-France, France",2024-09-28
UFC 306: Riyadh Season Noche UFC,http://www.ufcstats.com/event-details/0c01568b1ac77bff,2024-09-14,"Las Vegas, Nevada, USA",2024-09-14
UFC Fight Night: Burns vs. Brady,http://www.ufcstats.com/event-details/ee0b69e307c857e5,2024-09-07,"Las Vegas, Nevada, USA",2024-09-07
UFC Fight Night: Cannonier vs. Borralho,http://www.ufcstats.com/event-details/be8ad887e4d674b0,2024-08-24,"Las Vegas, Nevada, USA",2024-08-24
UFC 305: Du Plessis vs. Adesanya,http://www.ufcstats.com/event-details/32ba186f4b0e3267,2024-08-17,"Perth, Western Australia, Australia",2024-08-17
UFC Fight Night: Tybura vs. Spivac 2,http://www.ufcstats.com/event-details/2c733e059462c1dc,2024-08-10,"Las Vegas, Nevada, USA",2024-08-10
UFC Fight Night: Sandhagen vs. Nurmagomedov,http://www.ufcstats.com/event-details/fe435e440b5de0ff,2024-08-03,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2024-08-03
UFC 304: Edwards vs. Muhammad 2,http://www.ufcstats.com/event-details/026b4f7049085842,2024-07-27,"Manchester, England, United Kingdom",2024-07-27
UFC Fight Night: Lemos vs. Jandiroba,http://www.ufcstats.com/event-details/c11036da9162cb5f,2024-07-20,"Las Vegas, Nevada, USA",2024-07-20
UFC Fight Night: Namajunas vs. Cortez,http://www.ufcstats.com/event-details/66e0a70352fef46a,2024-07-13,"Denver, Colorado, USA",2024-07-13
UFC 303: Pereira vs. Prochazka 2,http://www.ufcstats.com/event-details/f3743d8ef5dde970,2024-06-29,"Las Vegas, Nevada, USA",2024-06-29
UFC Fight Night: Whittaker vs. Aliskerov,http://www.ufcstats.com/event-details/b12a1d19ee383b7c,2024-06-22,"Riyadh, Riyadh, Saudi Arabia",2024-06-22
UFC Fight Night: Perez vs. Taira,http://www.ufcstats.com/event-details/9c5828c6fd9dc948,2024-06-15,"Las Vegas, Nevada, USA",2024-06-15
UFC Fight Night: Cannonier vs. Imavov,http://www.ufcstats.com/event-details/cba3a2dfbc06ce79,2024-06-08,"Louisville, Kentucky, USA",2024-06-08
UFC 302: Makhachev vs. Poirier,http://www.ufcstats.com/event-details/6e4acc2c115215b5,2024-06-01,"Newark, New Jersey, USA",2024-06-01
UFC Fight Night: Barboza vs. Murphy,http://www.ufcstats.com/event-details/46baf0f57edfa4df,2024-05-18,"Las Vegas, Nevada, USA",2024-05-18
UFC Fight Night: Lewis vs. Nascimento,http://www.ufcstats.com/event-details/5dfe71ade71f3a4b,2024-05-11,"St. Louis, Missouri, USA",2024-05-11
UFC 301: Pantoja vs. Erceg,http://www.ufcstats.com/event-details/981ab7a0576f76a0,2024-05-04,"Rio de Janeiro, Rio de Janeiro, Brazil",2024-05-04
UFC Fight Night: Nicolau vs. Perez,http://www.ufcstats.com/event-details/a16ce18149021139,2024-04-27,"Las Vegas, Nevada, USA",2024-04-27
UFC 300: Pereira vs. Hill,http://www.ufcstats.com/event-details/6750e338922a099d,2024-04-13,"Las Vegas, Nevada, USA",2024-04-13
UFC Fight Night: Allen vs. Curtis 2,http://www.ufcstats.com/event-details/899eaba48fa864a6,2024-04-06,"Las Vegas, Nevada, USA",2024-04-06
UFC Fight Night: Blanchfield vs. Fiorot,http://www.ufcstats.com/event-details/dba230fe33011201,2024-03-30,"Atlantic City, New Jersey, USA",2024-03-30
UFC Fight Night: Ribas vs. Namajunas,http://www.ufcstats.com/event-details/79ff6545b0abc685,2024-03-23,"Las Vegas, Nevada, USA",2024-03-23
UFC Fight Night: Tuivasa vs. Tybura,http://www.ufcstats.com/event-details/c398235fcaf8d71d,2024-03-16,"Las Vegas, Nevada, USA",2024-03-16
UFC 299: O'Malley vs. Vera 2,http://www.ufcstats.com/event-details/a9df5ae20a97b090,2024-03-09,"Miami, Florida, USA",2024-03-09
UFC Fight Night: Rozenstruik vs. Gaziev,http://www.ufcstats.com/event-details/e4a9dbade7c7e1a7,2024-03-02,"Las Vegas, Nevada, USA",2024-03-02
UFC Fight Night: Moreno vs. Royval 2,http://www.ufcstats.com/event-details/902ab9197b83d0db,2024-02-24,"Mexico City, Distrito Federal, Mexico",2024-02-24
UFC 298: Volkanovski vs. Topuria,http://www.ufcstats.com/event-details/dab0e6cb8c932162,2024-02-17,"Anaheim, California, USA",2024-02-17
UFC Fight Night: Hermansson vs. Pyfer,http://www.ufcstats.com/event-details/eaea0fc7b76525a8,2024-02-10,"Las Vegas, Nevada, USA",2024-02-10
UFC Fight Night: Dolidze vs. Imavov,http://www.ufcstats.com/event-details/cce79e827569f26e,2024-02-03,"Las Vegas, Nevada, USA",2024-02-03
