event_name,event_url,event_date,location,event_date_parsed
UFC Fight Night: Walker vs. Hill,http://www.ufcstats.com/event-details/77940e45bc86208e,2022-02-19,"Las Vegas, Nevada, USA",2022-02-19
UFC 271: Adesanya vs. Whittaker 2,http://www.ufcstats.com/event-details/cbb682f5fcc44bfc,2022-02-12,"Houston, Texas, USA",2022-02-12
UFC Fight Night: Hermansson vs. Strickland,http://www.ufcstats.com/event-details/883922e5cd6d8473,2022-02-05,"Las Vegas, Nevada, USA",2022-02-05
UFC 270: Ngannou vs. Gane,http://www.ufcstats.com/event-details/335ad945324c3a2e,2022-01-22,"Anaheim, California, USA",2022-01-22
UFC Fight Night: Kattar vs. Chikadze,http://www.ufcstats.com/event-details/f5585e675af7afd4,2022-01-15,"Las Vegas, Nevada, USA",2022-01-15
UFC Fight Night: Lewis vs. Daukaus,http://www.ufcstats.com/event-details/2a470ad41c22c25a,2021-12-18,"Las Vegas, Nevada, USA",2021-12-18
UFC 269: Oliveira vs. Poirier,http://www.ufcstats.com/event-details/ef927e4fe2117ab8,2021-12-11,"Las Vegas, Nevada, USA",2021-12-11
UFC Fight Night: Font vs. Aldo,http://www.ufcstats.com/event-details/509697e08673d2e5,2021-12-04,"Las Vegas, Nevada, USA",2021-12-04
UFC Fight Night: Vieira vs. Tate,http://www.ufcstats.com/event-details/c95fbc085e17a532,2021-11-20,"Las Vegas, Nevada, USA",2021-11-20
UFC Fight Night: Holloway vs. Rodriguez,http://www.ufcstats.com/event-details/b5abaa65f87938eb,2021-11-13,"Las Vegas, Nevada, USA",2021-11-13
UFC 268: Usman vs. Covington 2,http://www.ufcstats.com/event-details/48e093ea1f43a053,2021-11-06,"New York City, New York, USA",2021-11-06
UFC 267: Blachowicz vs. Teixeira,http://www.ufcstats.com/event-details/3974fa35c917af1d,2021-10-30,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2021-10-30
UFC Fight Night: Costa vs. Vettori,http://www.ufcstats.com/event-details/8a9c6c4301f6d088,2021-10-23,"Las Vegas, Nevada, USA",2021-10-23
UFC Fight Night: Ladd vs. Dumont,http://www.ufcstats.com/event-details/8f4616698508f24d,2021-10-16,"Las Vegas, Nevada, USA",2021-10-16
UFC Fight Night: Dern vs. Rodriguez,http://www.ufcstats.com/event-details/d247691a6c0e9034,2021-10-09,"Las Vegas, Nevada, USA",2021-10-09
UFC Fight Night: Santos vs. Walker,http://www.ufcstats.com/event-details/e15d0a2519d6a0b5,2021-10-02,"Las Vegas, Nevada, USA",2021-10-02
UFC 266: Volkanovski vs. Ortega,http://www.ufcstats.com/event-details/0eec866a077889f0,2021-09-25,"Las Vegas, Nevada, USA",2021-09-25
UFC Fight Night: Smith vs. Spann,http://www.ufcstats.com/event-details/4c27ca8c8481f79a,2021-09-18,"Las Vegas, Nevada, USA",2021-09-18
UFC Fight Night: Brunson vs. Till,http://www.ufcstats.com/event-details/b9532d815060de7f,2021-09-04,"Las Vegas, Nevada, USA",2021-09-04
UFC Fight Night: Barboza vs. Chikadze,http://www.ufcstats.com/event-details/0db9d2486d564a3c,2021-08-28,"Las Vegas, Nevada, USA",2021-08-28
UFC Fight Night: Cannonier vs. Gastelum,http://www.ufcstats.com/event-details/2f13e4020cea5b38,2021-08-21,"Las Vegas, Nevada, USA",2021-08-21
UFC 265: Lewis vs. Gane,http://www.ufcstats.com/event-details/972197a8c61ac413,2021-08-07,"Houston, Texas, USA",2021-08-07
UFC Fight Night: Hall vs. Strickland,http://www.ufcstats.com/event-details/320edfb0332b7073,2021-07-31,"Las Vegas, Nevada, USA",2021-07-31
UFC Fight Night: Sandhagen vs. Dillashaw,http://www.ufcstats.com/event-details/e57f0b06ea39e360,2021-07-24,"Las Vegas, Nevada, USA",2021-07-24
UFC Fight Night: Makhachev vs. Moises,http://www.ufcstats.com/event-details/40389d39a92f5bfa,2021-07-17,"Las Vegas, Nevada, USA",2021-07-17
UFC 264: Poirier vs. McGregor 3,http://www.ufcstats.com/event-details/8a0be41c0380188d,2021-07-10,"Las Vegas, Nevada, USA",2021-07-10
UFC Fight Night: Gane vs. Volkov,http://www.ufcstats.com/event-details/a1d6b308781aa2f5,2021-06-26,"Las Vegas, Nevada, USA",2021-06-26
UFC Fight Night: Jung vs. Ige,http://www.ufcstats.com/event-details/9ddfb3369a3b0394,2021-06-19,"Las Vegas, Nevada, USA",2021-06-19
UFC 263: Adesanya vs. Vettori 2,http://www.ufcstats.com/event-details/0b64d0fed453ef7f,2021-06-12,"Glendale, Arizona, USA",2021-06-12
UFC Fight Night: Rozenstruik vs. Sakai,http://www.ufcstats.com/event-details/3b2485c8d5c8b580,2021-06-05,"Las Vegas, Nevada, USA",2021-06-05
UFC Fight Night: Font vs. Garbrandt,http://www.ufcstats.com/event-details/277ffed20cf07aea,2021-05-22,"Las Vegas, Nevada, USA",2021-05-22
UFC 262: Oliveira vs. Chandler,http://www.ufcstats.com/event-details/744f50016c39c26c,2021-05-15,"Houston, Texas, USA",2021-05-15
UFC Fight Night: Rodriguez vs. Waterson,http://www.ufcstats.com/event-details/58a36b4ccf5dc30e,2021-05-08,"Las Vegas, Nevada, USA",2021-05-08
UFC Fight Night: Reyes vs. Prochazka,http://www.ufcstats.com/event-details/d57e6a8971b6d2bd,2021-05-01,"Las Vegas, Nevada, USA",2021-05-01
UFC 261: Usman vs. Masvidal 2,http://www.ufcstats.com/event-details/27541033b97c076d,2021-04-24,"Jacksonville, Florida, USA",2021-04-24
UFC Fight Night: Whittaker vs. Gastelum,http://www.ufcstats.com/event-details/4a35913bd9aa4161,2021-04-17,"Las Vegas, Nevada, USA",2021-04-17
UFC Fight Night: Vettori vs. Holland,http://www.ufcstats.com/event-details/9114c8ded5ccd71d,2021-04-10,"Las Vegas, Nevada, USA",2021-04-10
UFC 260: Miocic vs. Ngannou,http://www.ufcstats.com/event-details/6597b611f1c32555,2021-03-27,"Las Vegas, Nevada, USA",2021-03-27
UFC Fight Night: Brunson vs. Holland,http://www.ufcstats.com/event-details/c36e1f4fa755ffb4,2021-03-20,"Las Vegas, Nevada, USA",2021-03-20
UFC Fight Night: Edwards vs. Muhammad,http://www.ufcstats.com/event-details/8c90c1563972e44d,2021-03-13,"Las Vegas, Nevada, USA",2021-03-13
UFC 259: Blachowicz vs. Adesanya,http://www.ufcstats.com/event-details/6e2b1d631832921d,2021-03-06,"Las Vegas, Nevada, USA",2021-03-06
UFC Fight Night: Rozenstruik vs. Gane,http://www.ufcstats.com/event-details/81b57acd6975ac06,2021-02-27,"Las Vegas, Nevada, USA",2021-02-27
UFC Fight Night: Blaydes vs. Lewis,http://www.ufcstats.com/event-details/bfe95ec546692b13,2021-02-20,"Las Vegas, Nevada, USA",2021-02-20
UFC 258: Usman vs. Burns,http://www.ufcstats.com/event-details/3f7c14c7eca7195d,2021-02-13,"Las Vegas, Nevada, USA",2021-02-13
UFC Fight Night: Overeem vs. Volkov,http://www.ufcstats.com/event-details/a1153013cb5f628f,2021-02-06,"Las Vegas, Nevada, USA",2021-02-06
UFC 257: Poirier vs. McGregor,http://www.ufcstats.com/event-details/4304992c2acc187b,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2021-01-23
UFC Fight Night: Chiesa vs. Magny,http://www.ufcstats.com/event-details/56116537d71a578c,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2021-01-20
UFC Fight Night: Holloway vs. Kattar,http://www.ufcstats.com/event-details/307064d3e0f036c2,2021-01-16,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2021-01-16
UFC Fight Night: Thompson vs. Neal,http://www.ufcstats.com/event-details/e49c2db95e572dc8,2020-12-19,"Las Vegas, Nevada, USA",2020-12-19
UFC 256: Figueiredo vs. Moreno,http://www.ufcstats.com/event-details/d0d43cb9b14f231c,2020-12-12,"Las Vegas, Nevada, USA",2020-12-12
UFC Fight Night: Hermansson vs. Vettori,http://www.ufcstats.com/event-details/398b440e73d55b8b,2020-12-05,"Las Vegas, Nevada, USA",2020-12-05
UFC Fight Night: Smith vs. Clark,http://www.ufcstats.com/event-details/992c82450d96f726,2020-11-28,"Las Vegas, Nevada, USA",2020-11-28
UFC 255: Figueiredo vs. Perez,http://www.ufcstats.com/event-details/bbb15f301e4a490a,2020-11-21,"Las Vegas, Nevada, USA",2020-11-21
UFC Fight Night: Felder vs. Dos Anjos,http://www.ufcstats.com/event-details/3bc27ec15facbcf3,2020-11-14,"Las Vegas, Nevada, USA",2020-11-14
UFC Fight Night: Santos vs. Teixeira,http://www.ufcstats.com/event-details/41dca66f9dadfc86,2020-11-07,"Las Vegas, Nevada, USA",2020-11-07
UFC Fight Night: Hall vs. Silva,http://www.ufcstats.com/event-details/ad044be25c94dcfd,2020-10-31,"Las Vegas, Nevada, USA",2020-10-31
UFC 254: Khabib vs. Gaethje,http://www.ufcstats.com/event-details/c3c38c86f5ab9b5c,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2020-10-24
UFC Fight Night: Ortega vs. The Korean Zombie,http://www.ufcstats.com/event-details/d4f364dd076bb0e2,2020-10-17,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2020-10-17
UFC Fight Night: Moraes vs. Sandhagen,http://www.ufcstats.com/event-details/fd4578cac86d75ca,2020-10-10,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2020-10-10
UFC Fight Night: Holm vs. Aldana,http://www.ufcstats.com/event-details/805ad1801eb26abb,2020-10-03,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2020-10-03
UFC 253: Adesanya vs. Costa,http://www.ufcstats.com/event-details/e69c5ce12f4e762b,2020-09-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2020-09-26
UFC Fight Night: Covington vs. Woodley,http://www.ufcstats.com/event-details/831b937811804dad,2020-09-19,"Las Vegas, Nevada, USA",2020-09-19
UFC Fight Night: Waterson vs. Hill,http://www.ufcstats.com/event-details/9c37681096c6f3a9,2020-09-12,"Las Vegas, Nevada, USA",2020-09-12
UFC Fight Night: Overeem vs. Sakai,http://www.ufcstats.com/event-details/542db012217ecb83,2020-09-05,"Las Vegas, Nevada, USA",2020-09-05
UFC Fight Night: Smith vs. Rakic,http://www.ufcstats.com/event-details/e29cf523ebd155c5,2020-08-29,"Las Vegas, Nevada, USA",2020-08-29
UFC Fight Night: Munhoz vs. Edgar,http://www.ufcstats.com/event-details/af1e5c64b8663aa0,2020-08-22,"Las Vegas, Nevada, USA",2020-08-22
UFC 252: Miocic vs. Cormier 3,http://www.ufcstats.com/event-details/bda04c573563cc2e,2020-08-15,"Las Vegas, Nevada, USA",2020-08-15
UFC Fight Night: Lewis vs. Oleinik,http://www.ufcstats.com/event-details/7a82635ffa9b59fe,2020-08-08,"Las Vegas, Nevada, USA",2020-08-08
UFC Fight Night: Brunson vs. Shahbazyan,http://www.ufcstats.com/event-details/3746e21bb508391a,2020-08-01,"Las Vegas, Nevada, USA",2020-08-01
UFC Fight Night: Whittaker vs. Till,http://www.ufcstats.com/event-details/dde70a112e053a6c,2020-07-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2020-07-25
UFC Fight Night: Figueiredo vs. Benavidez 2,http://www.ufcstats.com/event-details/ddbd0d6259ce57cc,2020-07-18,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2020-07-18
UFC Fight Night: Kattar vs. Ige,http://www.ufcstats.com/event-details/18f5669a92e99d92,2020-07-15,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2020-07-15
UFC 251: Usman vs. Masvidal,http://www.ufcstats.com/event-details/dbd198f780286aca,2020-07-11,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2020-07-11
UFC Fight Night: Poirier vs. Hooker,http://www.ufcstats.com/event-details/c32eab6c2119e989,2020-06-27,"Las Vegas, Nevada, USA",2020-06-27
UFC Fight Night: Blaydes vs. Volkov,http://www.ufcstats.com/event-details/2eab7a6c8b0ed8cc,2020-06-20,"Las Vegas, Nevada, USA",2020-06-20
UFC Fight Night: Eye vs. Calvillo,http://www.ufcstats.com/event-details/1e13936d708bcff7,2020-06-13,"Las Vegas, Nevada, USA",2020-06-13
UFC 250: Nunes vs. Spencer,http://www.ufcstats.com/event-details/4c12aa7ca246e7a4,2020-06-06,"Las Vegas, Nevada, USA",2020-06-06
UFC Fight Night: Woodley vs. Burns,http://www.ufcstats.com/event-details/14b9e0f2679a2205,2020-05-30,"Las Vegas, Nevada, USA",2020-05-30
UFC Fight Night: Overeem vs. Harris,http://www.ufcstats.com/event-details/dfb965c9824425db,2020-05-16,"Jacksonville, Florida, USA",2020-05-16
UFC Fight Night: Smith vs. Teixeira,http://www.ufcstats.com/event-details/5f8e00c27b7e7410,2020-05-13,"Jacksonville, Florida, USA",2020-05-13
UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/event-details/898337ef520fe4d3,2020-05-09,"Jacksonville, Florida, USA",2020-05-09
UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/event-details/53278852bcd91e11,2020-03-14,"Brasilia, Distrito Federal, Brazil",2020-03-14
UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/event-details/0b5b6876c2a4723f,2020-03-07,"Las Vegas, Nevada, USA",2020-03-07
UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/event-details/fc9a9559a05f2704,2020-02-29,"Norfolk, Virginia, USA",2020-02-29
UFC Fight Night: Felder vs. Hooker,http://www.ufcstats.com/event-details/33b2f68ef95252e0,2020-02-22,"Auckland, New Zealand",2020-02-22
UFC Fight Night: Anderson vs. Blachowicz,http://www.ufcstats.com/event-details/5df17b3620145578,2020-02-15,"Rio Rancho, New Mexico, USA",2020-02-15
UFC 247: Jones vs. Reyes,http://www.ufcstats.com/event-details/b26d3e3746fb4024,2020-02-08,"Houston, Texas, USA",2020-02-08
UFC Fight Night: Blaydes vs. Dos Santos,http://www.ufcstats.com/event-details/44aa652b181bcf68,2020-01-25,"Raleigh, North Carolina, USA",2020-01-25
UFC 246: McGregor vs. Cowboy,http://www.ufcstats.com/event-details/0c1773639c795466,2020-01-18,"Las Vegas, Nevada, USA",2020-01-18
UFC Fight Night: Edgar vs. The Korean Zombie,http://www.ufcstats.com/event-details/74fefd43f073cd2f,2019-12-21,"Busan, South Korea",2019-12-21
UFC 245: Usman vs. Covington,http://www.ufcstats.com/event-details/4565d435005319c0,2019-12-14,"Las Vegas, Nevada, USA",2019-12-14
UFC Fight Night: Overeem vs. Rozenstruik,http://www.ufcstats.com/event-details/b09890ba7ce1d1e2,2019-12-07,"Washington, DC, USA",2019-12-07
UFC Fight Night: Blachowicz vs. Jacare,http://www.ufcstats.com/event-details/81ca2c245b19b3c5,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",2019-11-16
UFC Fight Night: Zabit vs. Kattar,http://www.ufcstats.com/event-details/8d5daf67983b65ba,2019-11-09,"Moscow, Moscow, Russia",2019-11-09
UFC 244: Masvidal vs. Diaz,http://www.ufcstats.com/event-details/fd87b1bbfcde9d5e,2019-11-02,"New York City, New York, USA",2019-11-02
UFC Fight Night: Maia vs. Askren,http://www.ufcstats.com/event-details/df05aa15b2d66f57,2019-10-26,"Kallang, Singapore",2019-10-26
UFC Fight Night: Reyes vs. Weidman,http://www.ufcstats.com/event-details/3ae10ac4df3df05c,2019-10-18,"Boston, Massachusetts, USA",2019-10-18
UFC Fight Night: Joanna vs. Waterson,http://www.ufcstats.com/event-details/0941df56f6ac954b,2019-10-12,"Tampa, Florida, USA",2019-10-12
UFC 243: Whittaker vs. Adesanya,http://www.ufcstats.com/event-details/3cf68c1d17f66af7,2019-10-05,"Melbourne, Victoria, Australia",2019-10-05
UFC Fight Night: Hermansson vs. Cannonier,http://www.ufcstats.com/event-details/1bf49bf829964144,2019-09-28,"Copenhagen, Denmark",2019-09-28
UFC Fight Night: Rodriguez vs. Stephens,http://www.ufcstats.com/event-details/94a5aaf573f780ad,2019-09-21,"Mexico City, Distrito Federal, Mexico",2019-09-21
UFC Fight Night: Cowboy vs. Gaethje,http://www.ufcstats.com/event-details/4834ff149dc9542a,2019-09-14,"Vancouver, British Columbia, Canada",2019-09-14
UFC 242: Khabib vs. Poirier,http://www.ufcstats.com/event-details/a79bfbc01b2264d6,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2019-09-07
UFC Fight Night: Andrade vs. Zhang,http://www.ufcstats.com/event-details/2c104b7e59a72629,2019-08-31,"Shenzhen, Guangdong, China",2019-08-31
UFC 241: Cormier vs. Miocic 2,http://www.ufcstats.com/event-details/70167689d6a01793,2019-08-17,"Anaheim, California, USA",2019-08-17
UFC Fight Night: Shevchenko vs. Carmouche 2,http://www.ufcstats.com/event-details/e5d03e4d966126bd,2019-08-10,"Montevideo, Uruguay",2019-08-10
UFC Fight Night: Covington vs. Lawler,http://www.ufcstats.com/event-details/03da33a102d9a45f,2019-08-03,"Newark, New Jersey, USA",2019-08-03
UFC 240: Holloway vs. Edgar,http://www.ufcstats.com/event-details/abcf7e55a0a9ed89,2019-07-27,"Edmonton, Alberta, Canada",2019-07-27
UFC Fight Night: Dos Anjos vs. Edwards,http://www.ufcstats.com/event-details/9e0f28d1f639ad73,2019-07-20,"San Antonio, Texas, USA",2019-07-20
UFC Fight Night: De Randamie vs. Ladd,http://www.ufcstats.com/event-details/2f8f3c69522db931,2019-07-13,"Sacramento, California, USA",2019-07-13
UFC 239: Jones vs. Santos,http://www.ufcstats.com/event-details/6c9383ffab2725a5,2019-07-06,"Las Vegas, Nevada, USA",2019-07-06
UFC Fight Night: Ngannou vs. Dos Santos,http://www.ufcstats.com/event-details/c0c1bc0766df4c00,2019-06-29,"Minneapolis, Minnesota, USA",2019-06-29
UFC Fight Night: Moicano vs. The Korean Zombie,http://www.ufcstats.com/event-details/b16a7e6a627e9789,2019-06-22,"Greenville, South Carolina, USA",2019-06-22
UFC 238: Cejudo vs. Moraes,http://www.ufcstats.com/event-details/e31502e3f79d00c5,2019-06-08,"Chicago, Illinois, USA",2019-06-08
UFC Fight Night: Gustafsson vs. Smith,http://www.ufcstats.com/event-details/cbc071cb20ea59c7,2019-06-01,"Stockholm, Sweden",2019-06-01
UFC Fight Night: Dos Anjos vs. Lee,http://www.ufcstats.com/event-details/6b8f28da9a483049,2019-05-18,"Rochester, New York, USA",2019-05-18
UFC 237: Namajunas vs. Andrade,http://www.ufcstats.com/event-details/9de7c97e1c0d7927,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",2019-05-11
UFC Fight Night: Iaquinta vs. Cowboy,http://www.ufcstats.com/event-details/351264d11286d09a,2019-05-04,"Ottawa, Ontario, Canada",2019-05-04
UFC Fight Night: Jacare vs. Hermansson,http://www.ufcstats.com/event-details/c912f676692c353a,2019-04-27,"Sunrise, Florida, USA",2019-04-27
UFC Fight Night: Overeem vs. Oleinik,http://www.ufcstats.com/event-details/7dcf06c1967801c1,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",2019-04-20
UFC 236: Holloway vs. Poirier 2,http://www.ufcstats.com/event-details/b0550072e5f0afa7,2019-04-13,"Atlanta, Georgia, USA",2019-04-13
UFC Fight Night: Barboza vs. Gaethje,http://www.ufcstats.com/event-details/9649d75defe0dedb,2019-03-30,"Philadelphia, Pennsylvania, USA",2019-03-30
UFC Fight Night: Thompson vs. Pettis,http://www.ufcstats.com/event-details/487c170da059857d,2019-03-23,"Nashville, Tennessee, USA",2019-03-23
UFC Fight Night: Till vs. Masvidal,http://www.ufcstats.com/event-details/80eacd4da0617c57,2019-03-16,"London, England, United Kingdom",2019-03-16
UFC Fight Night: Lewis vs. Dos Santos,http://www.ufcstats.com/event-details/e96d8538d3f9d0ed,2019-03-09,"Wichita, Kansas, USA",2019-03-09
UFC 235: Jones vs. Smith,http://www.ufcstats.com/event-details/2d5fbe2103f97053,2019-03-02,"Las Vegas, Nevada, USA",2019-03-02
UFC Fight Night: Blachowicz vs. Santos,http://www.ufcstats.com/event-details/6546af7ab545b90c,2019-02-23,"Prague, Czech Republic",2019-02-23
UFC Fight Night: Ngannou vs. Velasquez,http://www.ufcstats.com/event-details/a7a79b8efbceaaac,2019-02-17,"Phoenix, Arizona, USA",2019-02-17
UFC 234: Adesanya vs. Silva,http://www.ufcstats.com/event-details/b5882371e2a3900d,2019-02-09,"Melbourne, Victoria, Australia",2019-02-09
UFC Fight Night: Assuncao vs. Moraes 2,http://www.ufcstats.com/event-details/84283233ec42be5f,2019-02-02,"Fortaleza, Ceara, Brazil",2019-02-02
UFC Fight Night: Cejudo vs. Dillashaw,http://www.ufcstats.com/event-details/d4da8995fc91e7ef,2019-01-19,"Brooklyn, New York, USA",2019-01-19
UFC 232: Jones vs. Gustafsson 2,http://www.ufcstats.com/event-details/c046100aea0dba9a,2018-12-29,"Los Angeles, California, USA",2018-12-29
UFC Fight Night: Lee vs. Iaquinta,http://www.ufcstats.com/event-details/7a703c565ccaa18f,2018-12-15,"Milwaukee, Wisconsin, USA",2018-12-15
UFC 231: Holloway vs. Ortega,http://www.ufcstats.com/event-details/2a74bbba57058f12,2018-12-08,"Toronto, Ontario, Canada",2018-12-08
UFC Fight Night: Dos Santos vs. Tuivasa,http://www.ufcstats.com/event-details/d1d20e651e6cbc02,2018-12-01,"Adelaide, South Australia, Australia",2018-12-01
The Ultimate Fighter: Heavy Hitters Finale,http://www.ufcstats.com/event-details/c7ac79839e86ce33,2018-11-30,"Las Vegas, Nevada, USA",2018-11-30
UFC Fight Night: Blaydes vs. Ngannou 2,http://www.ufcstats.com/event-details/de25520d54eab12d,2018-11-24,"Beijing, China",2018-11-24
UFC Fight Night: Magny vs. Ponzinibbio,http://www.ufcstats.com/event-details/aa3153a9941b4d44,2018-11-17,"Buenos Aires, Buenos Aires, Argentina",2018-11-17
UFC Fight Night: Korean Zombie vs. Rodriguez,http://www.ufcstats.com/event-details/42c96a9c4802e2e1,2018-11-10,"Denver, Colorado, USA",2018-11-10
UFC 230: Cormier vs. Lewis,http://www.ufcstats.com/event-details/20821819c401ced8,2018-11-03,"New York City, New York, USA",2018-11-03
UFC Fight Night: Oezdemir vs. Smith,http://www.ufcstats.com/event-details/33a331684283900f,2018-10-27,"Moncton, New Brunswick, Canada",2018-10-27
UFC 229: Khabib vs. McGregor,http://www.ufcstats.com/event-details/1ef0eae31904e534,2018-10-06,"Las Vegas, Nevada, USA",2018-10-06
UFC Fight Night: Marreta vs. Anders,http://www.ufcstats.com/event-details/852454c572675334,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",2018-09-22
UFC Fight Night: Hunt vs. Oleinik,http://www.ufcstats.com/event-details/8d49545dadf9b919,2018-09-15,"Moscow, Moscow, Russia",2018-09-15
UFC 228: Woodley vs. Till,http://www.ufcstats.com/event-details/d5ae8074631762fc,2018-09-08,"Dallas, Texas, USA",2018-09-08
UFC Fight Night: Gaethje vs. Vick,http://www.ufcstats.com/event-details/c0342805a1948cbb,2018-08-25,"Lincoln, Nebraska, USA",2018-08-25
UFC 227: Dillashaw vs. Garbrandt 2,http://www.ufcstats.com/event-details/03b1e846b09f721d,2018-08-04,"Los Angeles, California, USA",2018-08-04
UFC Fight Night: Alvarez vs. Poirier 2,http://www.ufcstats.com/event-details/322a56923b396b4d,2018-07-28,"Calgary, Alberta, Canada",2018-07-28
UFC Fight Night: Shogun vs. Smith,http://www.ufcstats.com/event-details/4f732e58ed907eff,2018-07-22,"Hamburg, Hamburg, Germany",2018-07-22
UFC Fight Night: Dos Santos vs. Ivanov,http://www.ufcstats.com/event-details/b45d6b73f4ca4467,2018-07-14,"Boise, Idaho, USA",2018-07-14
UFC 226: Miocic vs. Cormier,http://www.ufcstats.com/event-details/35585d970300d45a,2018-07-07,"Las Vegas, Nevada, USA",2018-07-07
The Ultimate Fighter: Undefeated Finale,http://www.ufcstats.com/event-details/8215e4fe24e8e81b,2018-07-06,"Las Vegas, Nevada, USA",2018-07-06
UFC Fight Night: Cowboy vs. Edwards,http://www.ufcstats.com/event-details/ac5f67109accb482,2018-06-23,"Kallang, Singapore",2018-06-23
UFC 225: Whittaker vs. Romero 2,http://www.ufcstats.com/event-details/2eae41f61776c60f,2018-06-09,"Chicago, Illinois, USA",2018-06-09
UFC Fight Night: Rivera vs. Moraes,http://www.ufcstats.com/event-details/d29b5c4f22c6357d,2018-06-01,"Utica, New York, USA",2018-06-01
UFC Fight Night: Thompson vs. Till,http://www.ufcstats.com/event-details/f5990c11974d8e9c,2018-05-27,"Liverpool, England, United Kingdom",2018-05-27
UFC Fight Night: Maia vs. Usman,http://www.ufcstats.com/event-details/3144121470023e9a,2018-05-19,"Santiago, Chile",2018-05-19
UFC 224: Nunes vs. Pennington,http://www.ufcstats.com/event-details/67ec58d7cf599835,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil",2018-05-12
UFC Fight Night: Barboza vs. Lee,http://www.ufcstats.com/event-details/ad99fa5325519169,2018-04-21,"Atlantic City, New Jersey, USA",2018-04-21
UFC Fight Night: Poirier vs. Gaethje,http://www.ufcstats.com/event-details/620be7e0712d431b,2018-04-14,"Glendale, Arizona, USA",2018-04-14
UFC 223: Khabib vs. Iaquinta,http://www.ufcstats.com/event-details/49e7e05f902479ca,2018-04-07,"Brooklyn, New York, USA",2018-04-07
UFC Fight Night: Werdum vs. Volkov,http://www.ufcstats.com/event-details/eed2b71d77d95416,2018-03-17,"London, England, United Kingdom",2018-03-17
UFC 222: Cyborg vs. Kunitskaya,http://www.ufcstats.com/event-details/7929be8290289a47,2018-03-03,"Las Vegas, Nevada, USA",2018-03-03
UFC Fight Night: Emmett vs. Stephens,http://www.ufcstats.com/event-details/daa89f01e1c0f42a,2018-02-24,"Orlando, Florida, USA",2018-02-24
UFC Fight Night: Cerrone vs. Medeiros,http://www.ufcstats.com/event-details/d181689653115b6a,2018-02-18,"Austin, Texas, USA",2018-02-18
UFC 221: Romero vs. Rockhold,http://www.ufcstats.com/event-details/15515e797aedc137,2018-02-10,"Perth, Western Australia, Australia",2018-02-10
UFC Fight Night: Machida vs. Anders,http://www.ufcstats.com/event-details/7cf20446453f852b,2018-02-03,"Belem, Para, Brazil",2018-02-03
UFC Fight Night: Jacare vs. Brunson 2,http://www.ufcstats.com/event-details/602bb270f2bdbf02,2018-01-27,"Charlotte, North Carolina, USA",2018-01-27
UFC 220: Miocic vs. Ngannou,http://www.ufcstats.com/event-details/02177caefe7c07d4,2018-01-20,"Boston, Massachusetts, USA",2018-01-20
UFC Fight Night: Stephens vs. Choi,http://www.ufcstats.com/event-details/fc1868f56d3036eb,2018-01-14,"St. Louis, Missouri, USA",2018-01-14
UFC 219: Cyborg vs. Holm,http://www.ufcstats.com/event-details/04076783ca83d6ae,2017-12-30,"Las Vegas, Nevada, USA",2017-12-30
UFC Fight Night: Lawler vs. Dos Anjos,http://www.ufcstats.com/event-details/eaa0a728cc91ef60,2017-12-16,"Winnipeg, Manitoba, Canada",2017-12-16
UFC Fight Night: Swanson vs. Ortega,http://www.ufcstats.com/event-details/bcd124bcd3d5be46,2017-12-09,"Fresno, California, USA",2017-12-09
UFC 218: Holloway vs. Aldo 2,http://www.ufcstats.com/event-details/9e30f69cc0869301,2017-12-02,"Detroit, Michigan, USA",2017-12-02
The Ultimate Fighter: A New World Champion Finale,http://www.ufcstats.com/event-details/30e8b4505f5ccf92,2017-12-01,"Las Vegas, Nevada, USA",2017-12-01
UFC Fight Night: Bisping vs. Gastelum,http://www.ufcstats.com/event-details/e7bc606d269896aa,2017-11-25,"Shanghai, Hebei, China",2017-11-25
UFC Fight Night: Werdum vs. Tybura,http://www.ufcstats.com/event-details/caced97768818230,2017-11-18,"Sydney, New South Wales, Australia",2017-11-18
