event_name,event_date,fight_url,fighter_1,fighter_2,winner,f1_kd,f2_kd,f1_str,f2_str,f1_td,f2_td,f1_sub,f2_sub,weight_class,method,round,time
UFC Fight Night: Adesanya vs. Pyfer,"March 28, 2026",http://www.ufcstats.com/fight-details/796e1151896195aa,Alexia Thainara,Bruna Brasil,Alexia Thainara,0,0,73,37,6,0,2,0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/fb4b1754d510b0d0,Mario Bautista,Vinicius Oliveira,Mario Bautista,0,0,15,12,5,0,1,0,Bantamweight,"SUB

      

        Rear Naked Choke",2,4:46
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/dbbf8334a2600895,Amir Albazi,Kyoji Horiguchi,Kyoji Horiguchi,0,0,16,73,0,0,0,0,Flyweight,U-DEC,3,5:00
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/a5c5f76cf0a7c784,Jailton Almeida,Rizvan Kuniev,Rizvan Kuniev,0,0,31,43,0,0,0,0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/8fea32ab0445859c,Michal Oleksiejczuk,Marc-Andre Barriault,Michal Oleksiejczuk,0,0,140,77,1,0,0,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/2a26c0cfa06265b7,Jean Matsumoto,Farid Basharat,Farid Basharat,0,0,76,80,7,2,0,0,Bantamweight,S-DEC,3,5:00
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/6cca11f353a2b42d,Dustin Jacoby,Julius Walker,Dustin Jacoby,1,0,42,7,0,3,0,0,Light Heavyweight,"KO/TKO

      

        Punches",2,1:42
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/f964d2dda87f25f0,Alex Morono,Daniil Donchenko,Daniil Donchenko,0,1,40,100,0,0,0,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/abefaf1807941ee4,Nikolay Veretennikov,Niko Price,Nikolay Veretennikov,0,0,19,9,0,0,0,0,Welterweight,"KO/TKO

      

        Punches",1,1:42
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/cc5c5a8cff4c1ae9,Bruna Brasil,Ketlen Souza,Ketlen Souza,0,0,31,33,1,1,0,0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/86df0e75f41784d8,Javid Basharat,Gianni Vazquez,Javid Basharat,1,0,59,24,3,0,0,2,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/84e8ccc3c97c2b4c,Wang Cong,Eduarda Moura,Wang Cong,1,0,39,12,0,3,1,1,Catch Weight,U-DEC,3,5:00
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/9d30c887e8bd8824,Muin Gafurov,Jakub Wiklacz,Jakub Wiklacz,0,0,79,56,2,0,0,2,Bantamweight,"SUB

      

        Guillotine Choke",3,4:59
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/2bbfbb234c255249,Klaudia Sygula,Priscila Cachoeira,Klaudia Sygula,0,0,151,99,0,1,0,0,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/1330b5c21269fe92,Brandon Moreno,Lone'er Kavanagh,Lone'er Kavanagh,0,0,79,97,0,0,0,0,Flyweight,U-DEC,5,5:00
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/36d12b31957e94db,Marlon Vera,David Martinez,David Martinez,0,0,42,71,0,2,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/81f3d28d30d17378,Daniel Zellhuber,King Green,King Green,0,1,17,86,0,3,1,0,Lightweight,"KO/TKO

      

        Punches",2,4:55
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/7df505d8260ba680,Edgar Chairez,Felipe Bunes,Edgar Chairez,0,0,66,54,0,1,0,0,Flyweight,S-DEC,3,5:00
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/15068d7b095ca9bd,Imanol Rodriguez,Kevin Borjas,Imanol Rodriguez,1,2,46,22,1,0,0,0,Flyweight,"KO/TKO

      

        Punch",2,4:21
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/3b76a00f5d0400eb,Santiago Luna,Angel Pacheco,Santiago Luna,0,0,131,56,5,1,1,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/45ec0c5f19c9adbe,Ryan Gandra,Jose Daniel Medina,Ryan Gandra,1,0,14,0,0,0,0,0,Middleweight,"KO/TKO

      

        Punches",1,0:41
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/c40b934d2666e351,Ailin Perez,Macy Chiasson,Ailin Perez,0,0,27,8,6,0,0,0,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/25ab195cefbce1d0,Cristian Quinonez,Kris Moutinho,Cristian Quinonez,0,0,38,28,7,0,2,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/6154ee95d3f4fc32,Douglas Silva de Andrade,Javier Reyes,Javier Reyes,0,1,17,46,0,1,0,0,Featherweight,"KO/TKO

      

        Punches",1,4:59
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/44d58943ac8e47e1,Regina Tarin,Ernesta Kareckaite,Regina Tarin,0,0,114,105,1,1,0,0,Catch Weight,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/581292ffe5b09344,Erik Silva,Francis Marshall,Francis Marshall,0,0,5,3,0,1,0,1,Featherweight,"SUB

      

        Rear Naked Choke",1,2:29
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/c6a85b67fdd2ef3d,Damian Pinas,Wes Schultz,Damian Pinas,2,0,15,3,0,0,0,0,Middleweight,"KO/TKO

      

        Punch",1,2:30
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/f594fc5c2bc6237e,Josh Emmett,Kevin Vallejos,Kevin Vallejos,0,2,3,36,0,0,0,0,Featherweight,"KO/TKO

      

        Punches",1,3:33
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/3b7b771b9578383d,Amanda Lemos,Gillian Robertson,Gillian Robertson,0,0,42,12,1,3,1,0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/8bee5192baec71d8,Andre Fili,Jose Delgado,Jose Delgado,0,0,62,94,4,1,0,0,Featherweight,S-DEC,3,5:00
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/e0acd0cf4930671b,Marwan Rahiki,Harry Hardwick,Marwan Rahiki,0,0,90,65,0,0,0,0,Featherweight,KO/TKO,2,5:00
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/db7694f4513120d5,Ion Cutelaba,Oumar Sy,Ion Cutelaba,0,0,14,5,1,0,1,0,Light Heavyweight,"SUB

      

        Guillotine Choke",1,4:24
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/fc9168fd102e2e66,Charles Johnson,Bruno Silva,Charles Johnson,0,0,85,73,0,0,0,0,Flyweight,S-DEC,3,5:00
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/f26c0bdf7689aea2,Chris Curtis,Myktybek Orolbai,Myktybek Orolbai,0,0,12,20,0,19,0,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/2c330a6f7f1e55f0,Vitor Petrino,Steven Asplund,Vitor Petrino,0,1,92,61,0,0,0,0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/f44b4e998b6829f6,Elijah Smith,SuYoung You,Elijah Smith,1,0,16,3,0,4,1,0,Bantamweight,"SUB

      

        Rear Naked Choke",2,1:04
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/c769dd861357af9f,Bolaji Oki,Manoel Sousa,Manoel Sousa,0,2,84,71,1,0,0,1,Lightweight,"KO/TKO

      

        Punch",3,4:12
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/cff81d681a01ae18,Brad Tavares,Eryk Anders,Eryk Anders,1,0,48,35,0,3,0,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/8cab057e6549afd0,Bia Mesquita,Montse Rendon,Bia Mesquita,0,0,18,0,1,0,1,0,Women's Bantamweight,"SUB

      

        Rear Naked Choke",1,2:07
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/32d371462c539bee,Luan Lacerda,Hecher Sosa,Hecher Sosa,0,0,62,104,4,0,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/244285b7fd0ddece,Piera Rodriguez,Sam Hughes,Piera Rodriguez,0,0,107,77,1,0,0,0,Women's Strawweight,U-DEC,3,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/f030febede41c661,Max Holloway,Charles Oliveira,Charles Oliveira,0,0,26,50,0,5,0,4,Lightweight,U-DEC,5,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/d564db29997e1371,Caio Borralho,Reinier de Ridder,Caio Borralho,0,0,57,55,1,2,0,0,Middleweight,U-DEC,3,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/bed89a91da9d04c1,Rob Font,Raul Rosas Jr.,Raul Rosas Jr.,0,0,10,8,0,16,0,0,Bantamweight,U-DEC,3,5:00
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/f02c0adc4ae629c6,Drew Dober,Michael Johnson,Drew Dober,1,0,22,27,0,0,0,0,Lightweight,"KO/TKO

      

        Punch",2,1:53
