number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_avg_best_iteration,user_attrs_cv_accuracy,user_attrs_cv_logloss,user_attrs_fold_accs,user_attrs_fold_lls,state,model,cv_accuracy,cv_logloss,avg_best_iteration
58,0.6025352730039734,2026-04-14 23:12:09.332749,2026-04-14 23:12:11.632954,0 days 00:00:02.300205,0.5001855651760434,0.04494795272691294,10,38,1.094906840810082,22,0.9282759969732285,0.0846450701556851,0.5601336961099437,,,,,,PRUNED,lgb,,,
59,0.5700012286012386,2026-04-14 23:12:11.650445,2026-04-14 23:12:17.499799,0 days 00:00:05.849354,0.4538681822615899,0.03119451653254537,5,49,0.9695660580327586,89,2.1306074315410277,0.005501298066166093,0.7239209714258651,,,,,,PRUNED,lgb,,,
60,0.5693514400164843,2026-04-14 23:12:17.522920,2026-04-14 23:12:22.974139,0 days 00:00:05.451219,0.4081041298808852,0.025401213276868187,6,44,1.453774260145982,46,3.318351333542916,0.016231221264527137,0.814131715381129,238.8,0.7021226415094339,0.5693514400164843,"[0.6238207547169812, 0.7169811320754716, 0.6910377358490566, 0.7464622641509434, 0.7323113207547169]","[0.6217392934091253, 0.5879985469115533, 0.5890753249689512, 0.5164317288043961, 0.5315123059883957]",COMPLETE,lgb,0.7021226415094339,0.5693514400164843,238.8
61,0.603292858059097,2026-04-14 23:12:22.996131,2026-04-14 23:12:24.829194,0 days 00:00:01.833063,0.6200916579616926,0.03847606842484015,7,36,1.3388602986921987,98,1.1226872742090612,0.03149925526108204,0.9308208513002248,,,,,,PRUNED,lgb,,,
62,0.5683825603736976,2026-04-14 23:12:24.848329,2026-04-14 23:12:29.530626,0 days 00:00:04.682297,0.6867827350739041,0.04410725115878373,4,32,1.8415580075445082,68,1.465550157835081,0.0010026613442851407,0.9461052564176594,150.2,0.7,0.5683825603736976,"[0.6332547169811321, 0.6981132075471698, 0.6839622641509434, 0.7405660377358491, 0.7441037735849056]","[0.6232979538735716, 0.586223092176592, 0.5910401352295074, 0.5145471369654646, 0.5268044836233522]",COMPLETE,lgb,0.7,0.5683825603736976,150.2
63,0.6028402164071939,2026-04-14 23:12:29.547600,2026-04-14 23:12:31.125157,0 days 00:00:01.577557,0.75888786666738,0.0543778794486003,5,33,1.9740981129478952,63,0.6076135019159667,0.001242461062462959,0.9780862867248894,,,,,,PRUNED,lgb,,,
64,0.6022542030623086,2026-04-14 23:12:31.141556,2026-04-14 23:12:32.316680,0 days 00:00:01.175124,0.6822487587062,0.047363746243783096,8,31,1.7638824385824958,68,7.212792932583954,0.0010601673452449178,0.9507029678638845,,,,,,PRUNED,lgb,,,
65,0.6240119266857357,2026-04-14 23:12:32.336009,2026-04-14 23:12:33.482659,0 days 00:00:01.146650,0.3296026850925671,0.29866373378393163,7,26,1.8823444749948408,54,1.5952985739565992,0.002111773807780404,0.8510575366724994,,,,,,PRUNED,lgb,,,
66,0.6025276734238787,2026-04-14 23:12:33.508417,2026-04-14 23:12:34.867659,0 days 00:00:01.359242,0.7147047056435907,0.07475302746889677,4,36,0.7283678206714597,75,0.4337428615516828,0.002813168367438926,0.7446238285025668,,,,,,PRUNED,lgb,,,
67,0.6085962387329897,2026-04-14 23:12:34.889941,2026-04-14 23:12:37.618894,0 days 00:00:02.728953,0.9717838558340316,0.036223974907275386,6,39,0.8402315198644764,59,0.8126122035194313,0.004708157011813531,0.9239841018439983,,,,,,PRUNED,lgb,,,
68,0.6014496807559336,2026-04-14 23:12:37.637916,2026-04-14 23:12:40.047870,0 days 00:00:02.409954,0.3707089728524487,0.03068550416962845,7,41,1.1943233299809488,115,1.4370714750584856,0.009282132502140246,0.8947389879664607,,,,,,PRUNED,lgb,,,
69,0.601169847598688,2026-04-14 23:12:40.071819,2026-04-14 23:12:45.761708,0 days 00:00:05.689889,0.5418781493084203,0.016469371423989524,5,30,0.23795601267106328,108,0.22245443175999555,0.050575633938811,0.9563799433510927,,,,,,PRUNED,lgb,,,
70,0.6030443712950952,2026-04-14 23:12:45.777951,2026-04-14 23:12:47.177750,0 days 00:00:01.399799,0.7550170888744762,0.04287332293323211,3,34,1.0517733431651877,84,0.3523943856489531,0.0015667282497521568,0.9842998323220686,,,,,,PRUNED,lgb,,,
71,0.5671489300626094,2026-04-14 23:12:47.194318,2026-04-14 23:12:52.336760,0 days 00:00:05.142442,0.5905490555077958,0.04087244760343823,4,31,1.3229461269366958,87,1.2401494359011977,0.015225566736046244,0.943074149923108,171.6,0.7009433962264151,0.5671489300626094,"[0.6308962264150944, 0.6945754716981132, 0.6827830188679245, 0.7547169811320755, 0.7417452830188679]","[0.6215567759962733, 0.5871964812170355, 0.587747815247555, 0.5133302298091333, 0.5259133480430497]",COMPLETE,lgb,0.7009433962264151,0.5671489300626094,171.6
72,0.6007826491273492,2026-04-14 23:12:52.357124,2026-04-14 23:12:53.918052,0 days 00:00:01.560928,0.636826174080169,0.06443422232108859,4,28,1.276152172800236,77,3.786148997589136,0.015581927535383039,0.9409485109775736,,,,,,PRUNED,lgb,,,
