event_name,event_date,fight_url,fighter_1_winner,fighter_2_loser,winner_kd,loser_kd,winner_str,loser_str,winner_td,loser_td,winner_sub,loser_sub,weight_class,method,round,time
UFC Fight Night: Adesanya vs. Pyfer,"March 28, 2026",http://www.ufcstats.com/fight-details/dbf1ee1a1912c735,Navajo Stirling,Bruno Lopes,1,0,63,28,0,0,0,0,Light Heavyweight,"KO/TKO

      

        Punches",2,4:05
UFC Fight Night: Adesanya vs. Pyfer,"March 28, 2026",http://www.ufcstats.com/fight-details/a997593977ba8cad,Ricky Simon,Adrian Yanez,0,1,44,71,2,0,0,0,Bantamweight,M-DEC,3,5:00
UFC Fight Night: Adesanya vs. Pyfer,"March 28, 2026",http://www.ufcstats.com/fight-details/796e1151896195aa,Alexia Thainara,Bruna Brasil,0,0,73,37,6,0,2,0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/fb4b1754d510b0d0,Mario Bautista,Vinicius Oliveira,0,0,15,12,5,0,1,0,Bantamweight,"SUB

      

        Rear Naked Choke",2,4:46
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/dbbf8334a2600895,Kyoji Horiguchi,Amir Albazi,0,0,73,16,0,0,0,0,Flyweight,U-DEC,3,5:00
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/a5c5f76cf0a7c784,Rizvan Kuniev,Jailton Almeida,0,0,43,31,0,0,0,0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/8fea32ab0445859c,Michal Oleksiejczuk,Marc-Andre Barriault,0,0,140,77,1,0,0,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/2a26c0cfa06265b7,Farid Basharat,Jean Matsumoto,0,0,80,76,2,7,0,0,Bantamweight,S-DEC,3,5:00
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/6cca11f353a2b42d,Dustin Jacoby,Julius Walker,1,0,42,7,0,3,0,0,Light Heavyweight,"KO/TKO

      

        Punches",2,1:42
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/f964d2dda87f25f0,Daniil Donchenko,Alex Morono,1,0,100,40,0,0,0,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/abefaf1807941ee4,Nikolay Veretennikov,Niko Price,0,0,19,9,0,0,0,0,Welterweight,"KO/TKO

      

        Punches",1,1:42
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/cc5c5a8cff4c1ae9,Ketlen Souza,Bruna Brasil,0,0,33,31,1,1,0,0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/86df0e75f41784d8,Javid Basharat,Gianni Vazquez,1,0,59,24,3,0,0,2,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/84e8ccc3c97c2b4c,Wang Cong,Eduarda Moura,1,0,39,12,0,3,1,1,Catch Weight,U-DEC,3,5:00
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/9d30c887e8bd8824,Jakub Wiklacz,Muin Gafurov,0,0,56,79,0,2,2,0,Bantamweight,"SUB

      

        Guillotine Choke",3,4:59
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/2bbfbb234c255249,Klaudia Sygula,Priscila Cachoeira,0,0,151,99,0,1,0,0,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/1330b5c21269fe92,Lone'er Kavanagh,Brandon Moreno,0,0,97,79,0,0,0,0,Flyweight,U-DEC,5,5:00
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/36d12b31957e94db,David Martinez,Marlon Vera,0,0,71,42,2,0,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/81f3d28d30d17378,King Green,Daniel Zellhuber,1,0,86,17,3,0,0,1,Lightweight,"KO/TKO

      

        Punches",2,4:55
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/7df505d8260ba680,Edgar Chairez,Felipe Bunes,0,0,66,54,0,1,0,0,Flyweight,S-DEC,3,5:00
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/15068d7b095ca9bd,Imanol Rodriguez,Kevin Borjas,1,2,46,22,1,0,0,0,Flyweight,"KO/TKO

      

        Punch",2,4:21
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/3b76a00f5d0400eb,Santiago Luna,Angel Pacheco,0,0,131,56,5,1,1,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/45ec0c5f19c9adbe,Ryan Gandra,Jose Daniel Medina,1,0,14,0,0,0,0,0,Middleweight,"KO/TKO

      

        Punches",1,0:41
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/c40b934d2666e351,Ailin Perez,Macy Chiasson,0,0,27,8,6,0,0,0,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/25ab195cefbce1d0,Cristian Quinonez,Kris Moutinho,0,0,38,28,7,0,2,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/6154ee95d3f4fc32,Javier Reyes,Douglas Silva de Andrade,1,0,46,17,1,0,0,0,Featherweight,"KO/TKO

      

        Punches",1,4:59
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/44d58943ac8e47e1,Regina Tarin,Ernesta Kareckaite,0,0,114,105,1,1,0,0,Catch Weight,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/581292ffe5b09344,Francis Marshall,Erik Silva,0,0,3,5,1,0,1,0,Featherweight,"SUB

      

        Rear Naked Choke",1,2:29
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/c6a85b67fdd2ef3d,Damian Pinas,Wes Schultz,2,0,15,3,0,0,0,0,Middleweight,"KO/TKO

      

        Punch",1,2:30
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/f594fc5c2bc6237e,Kevin Vallejos,Josh Emmett,2,0,36,3,0,0,0,0,Featherweight,"KO/TKO

      

        Punches",1,3:33
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/3b7b771b9578383d,Gillian Robertson,Amanda Lemos,0,0,12,42,3,1,0,1,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/8bee5192baec71d8,Jose Delgado,Andre Fili,0,0,94,62,1,4,0,0,Featherweight,S-DEC,3,5:00
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/e0acd0cf4930671b,Marwan Rahiki,Harry Hardwick,0,0,90,65,0,0,0,0,Featherweight,KO/TKO,2,5:00
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/db7694f4513120d5,Ion Cutelaba,Oumar Sy,0,0,14,5,1,0,1,0,Light Heavyweight,"SUB

      

        Guillotine Choke",1,4:24
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/fc9168fd102e2e66,Charles Johnson,Bruno Silva,0,0,85,73,0,0,0,0,Flyweight,S-DEC,3,5:00
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/f26c0bdf7689aea2,Myktybek Orolbai,Chris Curtis,0,0,20,12,19,0,0,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/2c330a6f7f1e55f0,Vitor Petrino,Steven Asplund,0,1,92,61,0,0,0,0,Heavyweight,U-DEC,3,5:00
